,,,,,
Name ,Nationality ,Birth ,Death ,Grand Slam singles titles ,Notes 
Betsy Abbas,Egypt,,,,1960 French Championships quarterfinalist 
Jane Albert,United States,,,,1965 Wimbledon quarterfinalist 
Leslie Allen, United States,1957,,,Ranked world No. 21 in 1983 
Lili de Alvarez Valdene,Spain,1905,1998,,"Ranked world No. 2 at the end of the year in 1927 and 1928 • 1926/1927/1928 
Wimbledon runner-up "
Sophie Amiach,France,1963,,,"Singles: 1984 Australian Open quarterfinalist ◌ Doubles: 1980 Australian 
Open quarterfinalist "
Josette Amouretti,France,1914,?,,1954 French Championships quarterfinalist 
Bianca Andreescu,Canada,2000,,1,Ranked world No. 5 in 2019 • 2019 US Open Singles Champion
Sabine Appelmans,Belgium,1972,,,"Ranked world No. 16 in singles and world No. 21 in doubles in 1997 ◌ 
Singles: 1997 Australian Open quarterfinalist "
Laura Arraya (Gildemeister), Argentina Peru,1967,,,Ranked world No. 14 in singles in 1990 and world No. 27 in doubles in 1988 
Jeanne Arth, United States,1935,,,Doubles: 1959 Wimbledon champion • 1956/1959 U.S. champion
Shinobu Asagoe,Japan,1976,,,Ranked world No. 21 in singles in 2005 and world No. 13 in doubles in 2006 
Cilly Aussem,Germany,1909,1963,2,Ranked world No. 2 at the end of the year in 1930 and 1931 ◌ Singles: 1931 French champion • 1931 Wimbledon champion ◌ Mixed doubles: 1930 French champion
Tracy Austin, United States,1962,,2,Ranked world No. 1 in 1980 ◌ Singles: 1979/1981 US Open champion • 1980 WTA Finals champion ◌ Mixed doubles: 1980 Wimbledon champion
Victoria Azarenka,Belarus,1989,,2,"Ranked world No. 1 in singles in 2012 and world No. 7 in doubles in 2008 ◌ 
Singles: 2012/2013 Australian Open champion ◌ Mixed doubles: 2007 US Open champion • 2008 French Open champion"
Tímea Babos,Hungary,1993,,,Ranked world No. 25 in singles in 2016 and world No. 1 in doubles in 2018 
Timea Bacsinszky,Switzerland,1989,,,Ranked world No.9 in singles in 2016. 
Dianne Fromholtz Balestrat,Australia,1956,,,Ranked world No. 4 in 1979 ◌ Doubles: 1977 Australian Open champion
Sybille Bammer,Austria,1980,,,Ranked world No. 19 in 2007 
Sue Barker, United Kingdom,1956,,1,Ranked world No. 3 • 1976 French Open champion
Pilar Barril, Spain,1931,2011,,1961 French Championships quarterfinalist 
Mona Barthel, Germany,1990,,,Ranked world No. 23 in singles in 2013 and world No. 63 in doubles in 2015 
Jane Bartkowicz, United States,1949,,,Ranked world No. 8 at the end of the year in 1969 
Marion Bartoli, France,1984,,1,"Ranked world No. 7 in singles in 2012 and world No. 15 in doubles in 2004 ◌ 
Singles: 2013 Wimbledon champion"
Ashleigh Barty, Australia,1996,,1,"Ranked world No. 1 in singles in 2019 and world No. 5 in doubles in 2018 ◌ 
Singles: 2019 French Open champion ◌ Doubles: 2017 French Open finalist • 2013 Australian open finalist • 
2013 Wimbledon finalist • 2013 US Open finalist "
Carling Bassett-Seguso, [Canada,1967,,,Ranked world No. 8 in 1985 
Yayuk Basuki,Indonesia,1970,,,Ranked world No. 19 in singles in 1997 and world No. 9 in doubles in 1998 
Joan Hartigan Bathurst, Australia,1912,2000,3,Ranked world No. 8 at the end of the year in 1934 ◌ Singles: 1933/1934/1936 Australian champion ◌ Mixed doubles: 1934 Australian champion
Norma Baylon, Argentina,1942,,,"1964 Wimbledon quarterfinalist • 1965 French quarterfinalist • 1965/1966 
U.S. quarterfinalist "
Geraldine Beamish, United Kingdom,1885,1972,,"Ranked world No. 4 at the end of the year in 1923 • 1919/1922/1923 
Wimbledon semifinalist • 1921 Wimbledon women's doubles runner-up • 1920 
Olympic silver medalist in women's doubles "
Claire Beckingham,,,,,Singles: 1926 Wimbledon quarterfinalist 
Dája Bedáňová,Czech Republic,1983,,,Ranked world No. 16 in singles and world No. 34 in doubles in 2002 
Irina-Camelia Begu, Romania,1990,,,Ranked world No. 22 in singles and world No. 30 in doubles in 2016 
Belinda Bencic, Switzerland,1997,,,"Ranked world No. 7 in singles and world No. 59 in doubles in 2016 ◌ 
Singles: 2014 US Open quarterfinalist "
Mirka Koželuhová, Czechoslovakia,1951,,,Singles: 1978 French Open quarterfinalist 
Iveta Benešová, Czech Republic,1983,,,Ranked world No. 25 in singles in 2009 and world No. 17 in doubles in 2011 
Kiki Bertens, Netherlands,1991,,,"Ranked world No. 8 in singles in 2019 ◌ Singles: 2016 French open 
semifinalist and 2018 Wimbledon quarterfinalist "
Pauline Betz Addie, United States,1919,2011,5,Ranked world No. 1 at the end of the year in 1946 • 1946 Wimbledon champion • 1942/1943/1944/1946 U.S. Championships champion ◌ Mixed doubles: 1946 French Championships champion
Louie Bickerton, Australia,1902,1998,,Doubles: 1927/1929/1931 Australian Championships champion ◌ Mixed doubles: 1935 Australian Championships champion
Blanche Bingley Hillyard, United Kingdom,1863,1946,6,1886/1890/1894/1897/1899/1900 Wimbledon champion
Cara Black,Zimbabwe,1979,,,"Ranked world No. 31 in singles in 1999 and world No. 1 in doubles in 2005 ◌ 
Doubles: 2007 Australian Open champion • 2004/2005/2007 Wimbledon champion • 2008 US Open champion ◌ Mixed doubles: 2010 Australian Open champion • 2003 French Open champion • 2004/2010 Wimbledon champion • 2008 US Open champion"
Jill Blackman, Australia,1936,,,1963 French Championships quarterfinalist 
Molly Blair, United Kingdom,,,,1949 Wimbledon quarterfinalist 
Manon Bollegraf, Netherlands,1964,,,"Ranked world No. 29 in singles in 1990 and world No. 4 in doubles in 1990 ◌ 
Mixed doubles: 1997 Australian Open champion • 1989 French Open champion • 1991/1997 US Open champion"
Nancye Wynne Bolton, Australia,1916,2001,6,"Ranked world No. 4 at the end of the year in 1947 and 1948 • 1937/1940/1946/1947/1948/1951 Australian Championships champion ◌ Doubles: 1936/1937/1938/1939/1940/1947/1948/1949/1951/1952 Australian Championships 
champion ◌ Mixed doubles: 1940/1946/1947/1948 Australian Championships champion"
Alona Bondarenko, Ukraine,1984,,,"Ranked world No. 19 in singles in 2008 and world No. 11 in doubles in 2008 
◌ Doubles: 2008 Australian Open champion"
Kateryna Bondarenko, Ukraine,1986,,,"Ranked world No. 29 in singles in 2009 and world No. 9 in doubles in 2008 ◌ 
Doubles: 2008 Australian Open champion"
Lisa Bonder-Kreiss, United States,1965,,,Ranked world No. 9 in 1984 
Fiorella Bonicelli,Uruguay,1951,,,Doubles:1976 French Open champion ◌ Mixed doubles: 1975 French Open champion
Kristie Boogert, Netherlands,1973,,,"Ranked world No. 29 in singles in 1996 and world No. 16 in doubles in 1997 
◌ Doubles: 2000 Olympic silver medalist ◌ Mixed doubles: 1994 French Open champion"
Penelope Dora Boothby, United Kingdom,1881,1970,1,Singles: 1909 Wimbledon champion • 1908 Olympic silver medalist 
Linky Boshoff, South Africa,1956,,,1974 Wimbledon quarterfinalist • 1977 French Open quarterfinalist 
Annalisa Bossi, Italy,1915,2015,,Singles: 1949 French semifinalist 
Jean Bostock, United Kingdom,1922,1965,,"Ranked world No. 6 at the end of 1948 ◌ Singles: 1946 Wimbledon 
quarterfinalist "
Eugenie Bouchard, Canada,1994,,,Ranked world No. 5 in singles in 2014 ◌ Singles: 2014 Wimbledon finalist 
Kornelia Bouman, Netherlands,1903,1998,1,Ranked world No. 8 at the end of the year in 1928 • 1927 French champion ◌ Doubles: 1929 French champion ◌ Mixed doubles: 1924 Olympic bronze medalist 
Elena Bovina, Russia,1983,,,Ranked world No. 14 in singles in 2005 and world No. 14 in doubles in 2003 
Nicole (Provis) Bradtke, Australia,1969,,,"Ranked world No. 24 in singles in 1993 and world No. 11 in doubles in 1992 
• 1992 Olympic bronze medalist in women's doubles "
Shirley Brasher, United Kingdom,1934,,1,Ranked world No. 3 at the end of the year in 1957 • 1957 French Championships champion ◌ Doubles: 1957 French Championships champion ◌ Mixed doubles: 1958 French Championships champion
Heather Brewer Segal, Bermuda,,2006,,1955/1958 French Championships semifinalist 
Marguerite Broquedis, France,1893,1983,2,1913/1914 French Championships champion ◌ Mixed doubles: 1911/1924 French Championships champion ◌ 1912 Olympic gold medalist in singles and bronze medalist in mixed doubles 
Louise Brough, United States,1923,2014,5,"Ranked world No. 1 at the end of the year in 1955 • 1947 U.S. Championships champion • 1950 Australian Championships champion • 1948/1949/1955 Wimbledon champion ◌ Doubles: 1950 Australian Championships champion • 1946/1947/1949 French Championships champion • 1946/1948/1949/1950/1954 Wimbledon champion • 1942/1943/1944/1945/1946/1947/1948/1949/1950/1955/1956/1957 U.S. 
Championships champion ◌ Mixed doubles: 1946/1947/1948/1950 Wimbledon champion • 1942/1947/1948/1949 U.S. Championships champion"
Mary Kendall Browne, United States,1891,1971,3,Ranked world No. 3 at the end of the year in 1921 • 1912/1913/1914 U.S. Championships champion ◌ Doubles: 1912/1913/1914/1921/1925 U.S. Championships champion • 1926 Wimbledon champion ◌ Mixed doubles: 1912/1913/1914/1921 U.S. Championships champion
Ginette Bucaille, France,,,,"Ranked world No. 10 at the end of the year 1954 • 1954 French Championships 
runner-up "
Iva Budařová, Czech Republic,1960,,,Ranked world No. 24 in 1983 
Edda Buding, West Germany,1936,2014,,1959 Wimbledon quarterfinalist • 1956 French Championships quarterfinalist 
Ilse Buding, West Germany,1939,,,1956 French Championships quarterfinalist 
Maria Bueno, Brazil,1939,2018,7,Ranked world No. 1 at the end of the year in 1959 and 1960 • 1959/1960/1964 Wimbledon champion • 1959/1963/1964/1966 U.S. Championships champion ◌ Doubles: 1958/1960/1963/1965/1966 Wimbledon champion • 1960/1962/1966/1968 U.S. Championships champion • 1960 Australian Championships champion • 1960 French Championships champion ◌ Mixed doubles: 1960 French Championships champion
Bettina Bunge, West Germany,1963,,,Ranked world No. 7 in 1983 
Coral Buttsworth, Australia,1900,1985,2,1931/1932 Australian Championships champion ◌ Doubles: 1932 Australian Championships champion
Angela Buxton, United Kingdom,1934,2020,,Ranked world No. 6 at the end of the year in 1956 ◌ Doubles: 1956 French Championships champion • 1956 Wimbledon champion
Mihaela Buzărnescu, Romania,1988,,,Ranked world No. 20 in singles in 2018 and world No. 28 in doubles in 2018 
Jennifer Capriati, United States,1976,,3,"Ranked world No. 1 in singles for a total of 17 weeks in 2001 & 2002 ◌ 
Singles: 2001/2002 Australian Open champion • 2001 French Open champion • 1992 Olympic gold medalist"
Mary Carillo, United States,1957,,,Ranked world No. 33 in singles in 1980 ◌ Mixed doubles: 1977 French Open champion
Pam Casale, United States,1963,,,Ranked world No. 14 in 1984 
Rosemary Casals, United States,1948,,,Ranked world No. 3 at the end of 1970 ◌ Doubles: 1967/1968/1969/1970/1971/1973 Wimbledon champion • 1967/1971/1974/1982 US Open champion ◌ Mixed doubles: 1970/1972 Wimbledon champion • 1975 US Open champion
Michelle (Torres) Casati, United States,1967,,,Ranked world No. 18 in 1984 
Helen Gourlay Cawley, Australia,1946,,,Doubles: 1972/1976/1977 (January)/1977 (December) Australian Open champion • 1977 Wimbledon champion
Arlette de Cazalet, France,,,,Singles: 1951 French quarterfinalist 
Sandra Cecchini, Italy,1965,,,Ranked world No. 15 in 1988 
Anna Chakvetadze, Russia,1987,,,"Ranked world No. 5 in singles and world No. 53 in doubles in 2007 ◌ 
Singles: 2007 US Open semifinalist "
Dorothy Bundy Cheney, United States,1916,2014,1,Ranked world No. 6 at the end of the year in 1946 • 1938 Australian champion
Natasha Chmyreva, Soviet Union,1958,,,1975 Australian Open semifinalist 
Dominika Cibulková, Slovakia,1989,,,Ranked world No. 4 in singles in 2017 • Australian Open Runner-up 2014 
Sorana Cîrstea, Romania,1990,,,Ranked world No. 21 in singles in 2013 and world No. 35 in doubles in 2009 
Kim Clijsters, Belgium,1983,,4,Ranked world No. 1 in singles and doubles in 2003 ◌ Singles: 2005/2009/2010 US Open champion • 2011 Australian Open champion • 2002/2003/2010 WTA Finals Champion ◌ Doubles: 2003 French Open champion • 2003 Wimbledon champion
Amanda Coetzer,South Africa,1971,,,Ranked world No. 3 in singles in 1997 and world No. 15 in doubles in 1993 
Lorraine Coghlan Robinson, Australia,1937,,,Mixed doubles: 1958 Wimbledon mixed doubles champion
J. S. Colegate,,,,,1924 Wimbledon quarterfinalist 
Patricia Coleman, Australia,1953,,,1972 Australian Open quarterfinalist 
Beryl Penrose Collier, Australia,1930,,,"Ranked world No. 8 at the end of the year in 1955 • 1955 Wimbledon 
quarterfinalist "
Maureen Connolly Brinker, United States,1934,1969,9,Ranked world No. 1 at the end of the year from 1952 through 1954 • 1953 Australian Championships champion • 1953/1954 French Championships champion • 1952/1953/1954 Wimbledon champion • 1951/1952/1953 U.S. Championships champion ◌ Doubles: 1953 Australian Championships champion • 1954 French Championships champion ◌ Mixed doubles: 1954 French Championships champion
Helene Contostavlos, Greece,,,,1926 Wimbledon quarterfinalist 
Sarah Palfrey Cooke, United States,1912,1996,2,Ranked world No. 4 at the end of the year in 1934 • 1941/1945 U.S. Championships champion ◌ Doubles: 1930/1932/1934/1935/1937/1938/1939/1940/1941 U.S. Championships champion • 1938/1939 Wimbledon champion ◌ Mixed doubles: 1932/1935/1937/1941 U.S. Championships champion • 1939 French Championships champion
Charlotte Cooper Sterry, United Kingdom,1870,1966,5,1895/1896/1898/1901/1908 Wimbledon champion • 1900 Olympic gold medalist in singles and mixed doubles
Belinda Cordwell,New Zealand,1965,,,Ranked world No. 17 in 1989 
Alizé Cornet, France,1990,,,Ranked world No. 11 in singles in 2009 
Margaret (Smith) Court, Australia,1942,,24,"• Ranked world No. 1 at the end of the year from 1962 through 1965 and in 
1969, 1970, and 1973 • One of three players to have won every possible 
title (singles, doubles, mixed doubles) at all four Grand Slam events. • Australian Open champion 
1960/1961/1962/1963/1964/1965/1966/1969/1970/1971/1973 • French Open champion 1962/1964/1969/1970/1973 • Wimbledon champion 1963/1965/1970 • US Open champion 1962/1965/1969/1970/1973 ◌ Doubles: Australian Open champion 1961/1962/1963/1965/1969/1970/1971/1973 • French Open champion 1964/1965/1966/1973 • Wimbledon champion 1964/1969 • US Open champion 1963/1968/1970/1973/1975 ◌ Mixed doubles: Australian Championships champion 1963/1964/1965/1969 • French Open champion 1963/1964/1965/1969 • Wimbledon champion 1963/1965/1966/1968/1975 • US Open champion 1961/1962/1963/1964/1965/1969/1970/1972"
Paule Courteix, France,,,,1959 French Championships quarterfinalist 
Thelma Coyne Long, Australia,1918,2015,2,"Ranked world No. 7 at year-end in 1952 • 1952/1954 Australian Championships champion • 1936/1937/1938/1939/1940/1947/1948/1949/1951/1952/1956/1958 Australian 
Championships women's doubles champion "
Daphne Akhurst Cozens, Australia,1903,1933,5,"Ranked world No. 3 at the end of the year in 1928 • 1925/1926/1928/1929/1930 Australian Championships champion • 1924/1925/1928/1929/1931 Australian Championships women's doubles 
champion • 1924/1925/1928/1929 Australian Championships mixed doubles 
champion "
Marjorie Cox Crawford, Australia,,,,"Doubles: 1932 Australian champion ◌ Mixed doubles: 1931/1932/1933 
Australian champion "
Annabel Croft, United Kingdom,1966,,,Ranked world No. 24 in singles in 1985 
Isabel Cueto, Germany,1968,,,Ranked world No. 20 in singles in 1989 and world No. 77 in doubles in 1987 
Joan Curry, United Kingdom,,,,"Ranked world No. 9 at the end of 1949 • 1949/1952 French Championships 
quarterfinalist "
Eleni Daniilidou,Greece,1982,,,Ranked world No. 14 in singles in 2003 and world No. 21 in doubles in 2007 
Rosa-Maria Reyes Darmon, Mexico,1939,,,1957 Wimbledon quarterfinalist • 1958 French Championships quarterfinalist 
Kimiko Date-Krumm, Japan,1970,,,Ranked world No. 4 in singles in 1995 and world No. 33 in doubles in 1992 
Lindsay Davenport, United States,1976,,3,"Ranked world No. 1 in singles at the end of the year in 1998/2001/2004 & 
2005 and world No. 2 in doubles at the end of the year in 1997 • Ranked 
world No. 1 in singles for a total of 98 weeks from 1998 through 2002 and 
from 2004 through 2006 ◌ Singles: 1998 US Open champion • 1999 Wimbledon champion • 2000 Australian Open champion • 1996 Olympic gold medalist • 1999 WTA Finals champion • 1998 French Open 
semifinalist ◌ Doubles: 1996 French Open champion • 1997 US Open champion • 
1999 Wimbledon champion • 1996/1997/1998 WTA Finals champion "
Barbara Scofield, United States,1926,,,"Ranked world No. 5 at the end of the year in 1950 • 1950 French 
Championships semifinalist "
Nathalie Dechy, France,1979,,,Ranked world No. 11 in singles in 2006 and world No. 8 in doubles in 2007 
Casey Dellacqua, Australia,1985,,,"Ranked world No. 26 in singles in 2014 and world No. 5 in doubles in 2015 • 
2011 French Open mixed doubles champion • "
Elena Dementieva, Russia,1981,,,"Ranked world No. 3 in singles in 2009 and world No. 5 in doubles in 2003 ◌ 
Singles: 2008 Olympic gold medalist • 2004 French Open finalist • 2004 US 
Open finalist • 2009 Australian Open semifinalist • 2008/2009 Wimbledon 
semifinalist ◌ Doubles: 2002 WTA Finals champion "
Lottie Dod, United Kingdom,1871,1960,5,1887/1888/1891/1892/1893 Wimbledon champion
Jelena Dokić, Australia Yugoslavia Serbia andMontenegro,1983,,,"Ranked world No. 4 in singles and world No. 10 in doubles in 2002 ◌ 
Singles: 2000 Wimbledon semifinalist • 2009 Australian Open quarterfinalist 
• 2002 French Open quarterfinalist "
Ruxandra Dragomir Ilie, Romania,1972,,,Ranked world No. 15 in singles and world No. 21 in doubles in 1997 
Gisela Dulko, Argentina,1985,,,"Ranked world No. 26 in singles in 2005 and world No. 1 in doubles in 2010 ◌ 
Doubles: 2011 Australian Open champion • 2010 WTA Finals champion "
Annette Van Zyl Du Plooy, South Africa,1943,,,"Ranked world No. 6 at the end of the year in 1965 and 1966 • 1966 French 
Championships mixed doubles champion "
Margaret Osborne duPont, United States,1918,2012,6,"Ranked world No. 1 at the end of the year from 1947 through 1950 • 1946/1949 French Championships champion • 1948/1949/1950 U.S. Championships champion • 1947 Wimbledon champion • 1946/1947/1949 French Championships women's doubles champion • 
1946/1948/1949/1950/1954 Wimbledon women's doubles champion • 
1941/1942/1943/1944/1945/1946/1947/1948/1949/1950/1955/1956/1957 U.S. 
Championships women's doubles champion • 1962 Wimbledon mixed doubles 
champion • 1943/1944/1945/1946/1950/1956/1958/1959/1960 U.S. Championships 
mixed doubles champion "
Jo Durie, United Kingdom,1960,,,"Ranked world No. 5 in 1984 ◌ Singles: 1983 French Open semifinalist • 1983 
US Open semifinalist • 1983 Australian Open quarterfinalist • 1984 
Wimbledon quarterfinalist ◌ Mixed doubles: 1991 Australian champion • 1987 
Wimbledon champion "
Françoise Durr, France,1942,,1,"Ranked world No. 3 at the end of 1967 ◌ Singles: 1967 French champion ◌ Doubles: 1967 French champion • 1968/1969/1970/1971 French Open champion 
• 1969/1972 US Open champion ◌ Mixed doubles: 1968/1971/1973 French Open 
champion • 1976 Wimbledon champion "
Robyn Ebbern, Australia,1944,,,"Ranked world No. 9 at the end of the year in 1964 • 1963 French 
Championships quarterfinalist • 1962/1963 Australian Championships women's 
doubles champion • 1963 U.S. Championships women's doubles champion • 1963 
Australian Championships mixed doubles champion (shared - final abandoned 
because of rain) "
Katja Ebbinghaus, West Germany,1948,,,1972/1973/1974 French Open quarterfinalist 
Mary-Ann Eisel, United States,1946,,,1967 Wimbledon quarterfinalist 
Silvia Farina Elia, Italy,1972,,,Ranked world No. 11 in singles in 2002 and world No. 24 in doubles in 1999 
Sara Errani, Italy,1987,,,"Ranked world No. 6 in singles in 2012 and No. 1 in doubles in 2012 • 2012 
French Open women's doubles champion • 2012 US Open women's doubles 
champion • 2013 Australian Open women's doubles champion • ITF World 
Champion in doubles, 2012 (with Roberta Vinci) "
Chris Evert, United States,1954,,18,"Ranked world No. 1 at the end of the year in 1975, 1976, 1977, 1980, and 
1981 • Ranked world No. 1 for a total of 262 weeks from 1975 through 1982 
and in 1985 • 1974/1975/1979/1980/1983/1985/1986 French Open champion • 1974/1976/1981 Wimbledon champion • 1975/1976/1977/1978/1980/1982 US Open champion • 1982/1984 Australian Open champion • 1974/1975 French Open women's doubles champion • 1976 Wimbledon women's 
doubles champion "
Rosalyn (Fairbank) Nideffer, South Africa  United States,1960,,,"Ranked world No. 15 in singles in 1990 and world No. 12 in doubles in 1986 
• 1981/1983 French Open women's doubles champion "
Donna Floyd Fales, United States,1940,,,1963 Wimbledon quarterfinalist • 1962 French Championships quarterfinalist 
Patty Fendick, United States,1965,,,"Ranked world No. 19 in singles and world No. 4 in doubles in 1989 • 1991 
Australian Open women's doubles champion "
Gigi Fernández, Puerto Rico  United States,1964,,,"Ranked world No. 17 in singles and world No. 1 in doubles in 1991 • 
1988/1990/1992/1995/1996 US Open women's doubles champion • 
1991/1992/1993/1994/1995/1997 French Open women's doubles champion • 
1992/1993/1994/1997 Wimbledon women's doubles champion • 1993/1994 
Australian Open women's doubles champion • 1992/1996 Olympic gold medalist 
in women's doubles "
Mary Joe Fernandez, United States,1971,,,"Ranked world No. 4 in singles in 1990 and world No. 4 in doubles in 1991 ◌ 
Singles: 1990/1992 Australian Open finalist • 1993 French Open finalist • 
1991 Wimbledon semifinalist • 1990/1992 US Open semifinalist • 1992 Olympic 
bronze medalist ◌ Doubles: 1991 Australian Open champion • 1996 French Open 
champion • 1992/1996 Olympic gold medalist • 1996 WTA Finals champion "
Joyce Fitch Rymer, Australia,,,,1946 Australian Championships women's doubles champion 
Beverly Baker Fleitz, United States,1930,2014,,"Ranked world No. 3 at the end of the year in 1954, 1955, and 1958 • 1955 
French Championships women's doubles champion "
Helen Fletcher Barker, United Kingdom,1931,,,"Ranked world No. 8 at the end of the year in 1954 • 1954 Wimbledon 
quarterfinalist "
Kirsten Flipkens, Belgium,1986,,,Ranked world No. 13 in 2013 • 2013 Wimbledon semifinalist 
Amy Frazier, United States,1972,,,Ranked world No. 13 in singles in 1995 and world No. 24 in doubles in 1993 
