,,,,,
Shirley Fry Irvin, United States,1927,,4,"Ranked world No. 1 at the end of the year in 1956 • 1957 Australian Championships champion • 1951 French Championships champion • 1956 Wimbledon champion • 1956 U.S. Championships champion • 1957 Australian Championships women's doubles champion • 
1950/1951/1952/1953 French Championships women's doubles champion • 
1951/1952/1953 Wimbledon women's doubles champion • 1951/1952/1953/1954 
U.S. Championships women's doubles champion • 1956 Wimbledon mixed doubles 
champion "
Bettina Fulco-Villella, Argentina,1968,,,Ranked world No. 23 in singles in 1988 and world No. 62 in doubles in 1991 
Bonnie Gadusek, United States,1963,,,Ranked world No. 8 in 1984 
Donna Ganz, United States,1954,,,1975 French Open quarterfinalist 
Tathiana Garbin, Italy,1977,,,Ranked world No. 22 in singles in 2007 and world No. 25 in doubles in 2001 
Caroline Garcia, France,1993,,,"Ranked world No. 4 in singles in 2018 and world No. 2 in doubles in 2016 • 
2016 French Open women's doubles champion "
Zina Garrison (Jackson), United States,1963,,,"Ranked world No. 4 in singles in 1989 and world No. 5 in doubles in 1988 • 
1987 Australian Open mixed doubles champion • 1988/1990 Wimbledon mixed 
doubles champion "
Daria Gavrilova, Australia Russia,1994,,,Ranked world No. 20 in singles in 2017 and world No. 45 in doubles in 2017 
Ruta Gerulaitis, United States,1955,,,1979 French Open quarterfinalist 
Althea Gibson, United States,1927,2003,5,Ranked world No. 1 at the end of the year in 1957 and 1958 • 1956 French Championships champion • 1957/1958 Wimbledon Championships champion • 1957/1958 U.S. Championships champion
Camila Giorgi, Italy,1991,,,2018 Wimbledon quarterfinalist 
Raquel Giscafré, Argentina,1949,,,1974 French Open semifinalist 
Kathleen McKane Godfree, United Kingdom,1896,1992,2,"Ranked world No. 2 at the end of the year in 1923, 1924, and 1926 • 1924/1926 Wimbledon Championships champion • 1924 Olympic silver medalist in women's doubles and bronze medalist in 
singles • 1920 Olympic gold medalist in women's doubles, silver medalist in 
mixed doubles, and bronze medalist in singles "
Elsie Goldsack Pittman, United Kingdom,1904,1975,,"Ranked world No. 10 at the end of the year in 1929 and 1931 • 1929 
Wimbledon semifinalist "
Tatiana Golovin, France,1988,,,Ranked world No. 12 in singles in 2008 and world No. 91 in doubles in 2007 
Kate Gompert, United States,1963,,,Ranked world No. 18 in 1987 
Evonne Goolagong Cawley, Australia,1951,,7,"Ranked world No. 1 in 1976 • 1974/1975/1976/1977(December) Australian Open Champion • 1971 French Open champion • 1971/1980 Wimbledon champion • 1971/1974/1975/1976/1977(December) Australian Open women's doubles 
champion • 1974 Wimbledon women's doubles champion • 1972 French Open mixed 
doubles champion "
Julia Görges, Germany,1988,,,"Ranked world No. 9 in singles in 2018 and world No. 12 in doubles in 2016 • 
2018 Wimbledon semifinalist "
Inés Gorrochategui, Argentina,1973,,,Ranked world No. 19 in singles in 1994 and world No. 9 in doubles in 1995 
Eleanor Goss, United States,1895,1982,,"Ranked world No. 6 at the end of the year in 1923, 1924, and 1925 • 1918 
U.S. Championships runner-up • 1918/1919/1920/1926 U.S. Championships 
women's doubles champion "
Carole Caldwell Graebner, United States,1943,2008,,"Ranked world No. 4 at the end of the year in 1964 • 1965 U.S. Championships 
women's doubles champion • 1966 Australian Championships women's doubles 
champion "
Steffi Graf, Germany,1969,,22,"Ranked world No. 1 at the end of the year in 1987, 1988, 1989, 1990, 1993, 
1994, 1995, and 1996 • 1988/1989/1990/1994 Australian Open champion • 1987/1988/1993/1995/1996/1999 French Open champion • 1988/1989/1991/1992/1993/1995/1996 Wimbledon champion • 1988/1989/1993/1995/1996 US Open champion • 1988 Wimbledon women's doubles champion • 1992 Olympic silver medalist 
in singles • 1988 Olympic gold medalist in singles and bronze medalist in 
doubles. Ranked world No. 1 for 377 weeks. "
Rita Grande, Italy,1975,,,Ranked world No. 24 in singles and world No. 26 in doubles in 2001 
Trudy Groenman, Netherlands,1944,,,1966 Wimbledon quarterfinalist 
Anna-Lena Grönefeld, Germany,1985,,,"Ranked world No. 14 in singles and world No. 7 in doubles in 2006 • 2009 
Wimbledon mixed doubles champion • 2014 French Open mixed doubles champion "
Jarmila (Gajdošová) Wolfe, Australia Slovakia,1987,,,"Ranked world No. 25 in singles in 2011 and world No. 51 in doubles in 2007 
• 2013 Australian Open mixed doubles champion "
Carly Gullickson, United States,1986,,,"Ranked world No. 123 in singles in 2009 and world No. 52 in doubles in 2006 
• 2009 US Open mixed doubles champion "
Michèle Gurdal, Belgium,1952,,,Singles: 1979 Australian Open quarterfinalist 
Melissa Gurney, United States,1969,,,Ranked world No. 17 in 1987 
Karina Habšudová, Slovakia,1973,,,Ranked world No. 10 in 1997 
Sabine Hack, Germany,1969,,,Ranked world No. 13 in singles in 1995 and world No. 94 in doubles in 1994 
Julie Halard-Decugis, France,1970,,,"Ranked world No. 7 in singles and world No. 1 in doubles in 2000 ◌ Singles: 
1993/2000 Australian Open quarterfinalist • 1994 French Open 
quarterfinalist ◌ Doubles: 2000 US Open champion "
Simona Halep, Romania,1991,,2,Ranked world No. 1 in singles in 2017 ◌ Singles: 2018 French Open champion • 2019 Wimbledon champion • 2018 Australian Open finalist • 2015 US Open semifinalist 
Jamie Hampton, United States,1990,,,Ranked world No. 24 in singles in 2013 
Sylvia Hanika, West Germany,1959,,,Ranked world No. 5 in 1983 
Daniela Hantuchová, Slovakia,1983,,,"Ranked world No. 5 in singles in 2003 and in doubles in 2002 ◌ Mixed 
doubles: 2001 Wimbledon champion • 2002 Australian Open champion • 2005 
French Open champion • 2005 US Open champion "
Darlene Hard, United States,1936,,3,"Ranked world No. 2 at year-end in 1957, 1960, and 1961 • 1960 French Championships champion • 1960/1961 U.S. Championships champion • 1957/1959/1960/1963 Wimbledon women's doubles champion • 1955/1957/1960 
French Championships women's doubles champion • 1958/1959/1960/1961/1962 
U.S. Championships women's doubles champion • 1957/1959/1960 Wimbledon 
mixed doubles champion • 1955/1961 French Championships mixed doubles 
champion "
Mary Hardwick, United Kingdom,1913,2001,,Ranked world No. 8 at year-end in 1939 • 1939 Wimbledon quarterfinalist 
Tanya Harford, South Africa,1958,,,1981 French Open women's doubles champion 
Anna McCune Harper, United States,1902,1999,,"1931 Wimbledon mixed doubles champion • Top-ranked player in the United 
States in 1930 "
Kerry Harris, Australia,1949,,,1972 Australian Open women's doubles champion 
Betty Harrison, United Kingdom,,,,1950 Wimbledon quarterfinalist 
Doris Hart, United States,1925,2015,6,"Ranked world No. 1 at year-end in 1951 • 1949 Australian Championships champion • 1950/1952 French Championships champion • 1951 Wimbledon champion • 1954/1955 U.S. Championships champion • 1950 Australian Championships women's doubles champion • 
1948/1950/1951/1952/1953 French Championships women's doubles champion • 
1947/1951/1952/1953 Wimbledon women's doubles champion • 
1951/1952/1953/1954 U.S. Championships women's doubles champion • 1949/1950 
Australian Championships mixed doubles champion • 1951/1952/1953 French 
Championships mixed doubles champion • 1951/1952/1953/1954/1955 Wimbledon 
mixed doubles champion • 1951/1952/1953/1954/1955 U.S. Championships mixed 
doubles champion "
Kathleen Harter, United States,1946,,,1967 Wimbledon semifinalist 
Linda Harvey-Wild, United States,1971,,,Ranked world No. 23 in singles and world No. 17 in doubles in 1996 
Barbara Hawcroft, Australia,1950,,,1972 Australian Open quarterfinalist 
Marie Hazel,,,,,1923 Wimbledon quarterfinalist 
Mary Heeley, United Kingdom,,,,Ranked world No. 6 at year-end in 1932 • 1932 Wimbledon semifinalist 
Bobbie Heine Miller, South Africa,1909,2016,,"Ranked world No. 5 at year-end in 1929 • 1929 Wimbledon quarterfinalist • 
1927 French Championships women's doubles champion "
Julie Heldman, United States,1945,,,Ranked world No. 5 at year-end in 1969 
Justine Henin, Belgium,1982,,7,"Ranked world No. 1 in singles at the end of the year in 2003/2006/2007 and 
world No. 23 in doubles in 2002 ◌ Singles: 2003/2005/2006/2007 French Open champion • 2003/2007 US Open champion • 2004 Australian Open champion • 2004 Olympic gold medalist • 2006/2007 WTA Finals champion • 2001/2006 
Wimbledon finalist ◌ Ranked world No. 1 for 125 weeks "
Betty Hilton, United Kingdom,,,,"Ranked world No. 6 at year-end in 1949 ◌ Singles: 1949 Wimbledon 
quarterfinalist • 1946 French quarterfinalist "
Martina Hingis, Switzerland,1980,,5,"Ranked world No. 1 in singles at the end of the year in 1997/1999/2000 and 
world No. 1 in doubles in 1998 ◌ Singles: 1997/1998/1999 Australian Open champion • 1997 Wimbledon champion • 1997 US Open champion • 1998/2000 WTA Finals champion • 1997/1999 French Open finalist ◌ 
Doubles: 1996/1998/2015 Wimbledon champion • 1997/1998/1999/2002/2016 
Australian Open champion • 1998/2000 French Open champion • 1998/2015/2017 
US Open champion ◌ Mixed doubles: 2006/2015 Australian Open champion • 2016 
French Open champion • 2015/2017 Wimbledon champion • 2015/2017 US Open 
champion ◌ Ranked world No. 1 for 209 weeks "
Rika Hiraki, Japan,1971,,,"Ranked world No. 72 in singles and world No. 26 in doubles in 1997 • 1997 
French Open mixed doubles champion "
Andrea Hlaváčková, Czech Republic,1986,,,"Ranked world No. 58 in singles and world No. 3 in doubles in 2012 ◌ 
Doubles: 2011 French Open champion • 2013 US Open champion • 2017 WTA 
Finals champion ◌ Mixed doubles: 2013 US Open champion "
Jenny Hoad, Australia,1934,,,1954 Australian Championships runner-up 
Patti Hogan, United States,1949,,,1972 Wimbledon quarterfinalist 
Dorothy Holman, United Kingdom,1883,1979,,"1912/1913 Wimbledon semifinalist • 1920 Olympic silver medalist in singles 
and women's doubles "
Miroslava Holubová, Czechoslovakia,,,,1976 French Open quarterfinalist 
Nell Hall Hopman, Australia,1909,1968,,"1939/1947 Australian Championships runner-up • 1930/1936/1937/1939 
Australian Championships mixed doubles champion • 1954 French Championships 
women's doubles champion "
Marie Luise Horn, Germany,,,,"Ranked world No. 8 at year-end in 1932 and 1937 • 1936 Wimbledon 
quarterfinalist "
Kathleen Horvath, United States,1965,,,"Ranked world No. 10 in singles in 1984 and world No. 45 in doubles in 1988 
◌ Singles: 1983/1984 French Open quarterfinalist "
Justina Bricka Horwitz, United States,1943,,,Singles: 1965 Wimbledon quarterfinalist 
Lucie Hradecká, Czech Republic,1985,,,"Ranked world No. 41 in singles and world No. 4 in doubles in 2012 ◌ 
Doubles: 2011 French Open champion • 2013 US Open champion "
Hsieh Su-wei, Chinese Taipei,1986,,,"Ranked world No. 23 in singles in 2013 and world No. 1 in doubles in 2014 ◌ 
Doubles: 2013 Wimbledon Champion • 2014 French Open champion • 2013 WTA 
Finals champion "
Anke Huber, Germany,1974,,,"Ranked world No. 4 in singles in 1996 and world No. 30 in doubles in 2000 ◌ 
Singles: 1996 Australian Open finalist • 1993 French Open semifinalist • 
1999/2000 US Open quarterfinalist "
Liezel (Horn) Huber, South Africa  United States,1976,,,"Ranked world No. 131 in singles in 1999 and world No. 1 in doubles in 2007 
• 2005/2007 Wimbledon women's doubles champion • 2007 Australian Open 
women's doubles champion • 2008 US Open women's doubles champion • 2009 
French Open mixed doubles champion • 2010 US Open mixed doubles champion "
Lesley Hunt, Australia,1950,,,Ranked world No. 9 at year-end in 1974 
Ana Ivanovic,Serbia,1987,,1,"Ranked world No. 1 in singles in 2008 and world No. 50 in doubles in 2006 ◌ 
Singles: 2008 French Open champion • 2008 Australian Open finalist • 2007 Wimbledon semifinalist • 2012 US 
Open quarterfinalist "
Helen Jacobs, United States,1908,1997,5,"Ranked world No. 1 at the end of the year in 1936 • 1932/1933/1934/1935 U.S. Championships champion • 1936 Wimbledon champion • 1932/1934/1935 U.S. Championships women's doubles champion • 1934 U.S. 
Championships mixed doubles champion "
Andrea Jaeger, United States,1965,,,"Ranked world No. 3 at the end of the year in 1982 and 1983 • 1981 French 
Open mixed doubles champion "
Jelena Janković, Serbia,1985,,,"Ranked world No. 1 in singles at the end of the year in 2008 and world No. 
43 in doubles in 2006 ◌ Singles: 2008 US Open finalist • 2007/2008/2010 
French Open semifinalist • 2008 Australian Open semifinalist ◌ Mixed 
doubles: 2007 Wimbledon champion "
Mima Jaušovec, Yugoslavia,1956,,1,Ranked world No. 8 at year-end in 1976 • 1977 French Open champion • 1978 French Open women's doubles champion 
Jadwiga Jędrzejowska, Poland,1912,1980,,"Ranked world No. 3 at year-end in 1937 • 1939 French Championships women's 
doubles champion "
Marion Jessup, United States,1897,1979,,"Ranked world No. 8 at year-end in 1922 • 1919/1920 U.S. Championships 
runner-up • 1918/1919/1920/1921 U.S. Championships women's doubles champion 
• 1919 U.S. Championships mixed doubles champion • 1924 Olympic silver 
medalist in mixed doubles "
Ann Haydon Jones, United Kingdom,1938,,3,"Ranked world No. 2 at year-end in 1967 and 1969 • 1961/1966 French Championships champion • 1969 Wimbledon champion • 1963/1968/1969 French Championships women's doubles champion • 1969 
Australian Championships mixed doubles champion • 1969 Wimbledon mixed 
doubles champion "
Marion Jones Farquhar, United States,1879,1965,2,"1899/1902 U.S. Championships champion • 1902 U.S. Championships women's doubles champion • 1901 U.S. 
Championships mixed doubles champion • 1900 Olympic bronze medalist in 
singles and mixed doubles "
Barbara Jordan, United States,1957,,1,Ranked world No. 78 in 1983 • 1979 Australian Open champion • 1983 French Open mixed doubles champion 
Kathy Jordan, United States,1959,,,"Ranked world No. 5 in singles and world No. 6 in doubles in 1984 • 1980 
French Open women's doubles champion • 1980/1985 Wimbledon women's doubles 
champion • 1981 Australian Open women's doubles champion • 1981 US Open 
women's doubles champion • 1986 French Open mixed doubles champion • 1986 
Wimbledon mixed doubles champion "
Yone Kamio, Japan,1971,,,Ranked world No. 24 in singles in 1995 and world No. 65 in doubles in 1994 
Kaia Kanepi, Estonia,1985,,,Ranked world No. 15 in 2012 
Carina Karlsson, Sweden,1963,,,1984 Wimbledon quarterfinalist 
Daria Kasatkina, Russia,1997,,,Ranked world No. 10 in singles in 2018 and world No. 43 in doubles in 2016 
Helen Kelesi, Canada,1969,,,Ranked world No. 13 in singles in 1989 and world No. 26 in doubles in 1991 
Sofia Kenin,United States,1998,,!,Ranked world No. 4 at the end of the year in 2020 • 2020 Australian Open champion
Angelique Kerber, Germany,1988,,3,Ranked world No. 1 in singles in 2016 • 2016 Australian Open champion • 2016 US Open champion • 2018 Wimbledon champion
Madison Keys, United States,1995,,,"Ranked world No. 9 in singles in 2016 ◌ Singles: 2017 US Open finalist • 
2015 Australian Open semifinalist, 2018 quarterfinalist • 2015 Wimbledon 
quarterfinalist "
Billie Jean King, United States,1943,,12,"Ranked world No. 1 at the end of the year in 1966, 1967, 1968, 1971, 1972, 
and 1974 • 1966/1967/1968/1972/1973/1975 Wimbledon champion • 1967/1971/1972/1974 US Open champion • 1968 Australian Championships champion • 1972 French Open champion • 1961/1962/1965/1967/1968/1970/1971/1972/1973/1979 Wimbledon women's 
doubles champion • 1972 French Open women's doubles champion • 
1964/1967/1974/1978/1980 US Open women's doubles champion • 1968 Australian 
Championships mixed doubles champion • 1967/1970 French Open mixed doubles 
champion • 1967/1971/1973/1974 Wimbledon mixed doubles champion • 
1967/1971/1973/1976 US Open mixed doubles champion "
Vania King, United States,1989,,,"Ranked world No. 50 in singles in 2006 and world No. 4 in doubles in 2010 • 
2010 Wimbledon women's doubles champion • 2010 US Open women's doubles 
champion "
Maria Kirilenko, Russia,1987,,,Ranked world No. 10 in singles in 2008 and world No. 9 in doubles in 2011 
Alisa Kleybanova, Russia,1989,,,Ranked world No. 20 in singles in 2011 and world No. 10 in doubles in 2010 
Ilana Kloss, South Africa,1956,,,Ranked world No. 19 in singles in 1979 and world No. 1 in doubles in 1976 
Dorothy Head Knode, United States,1925,2015,,"Ranked world No. 5 at year-end in 1955 and 1957 • 1955/1957 French 
Championships runner-up "
Claudia Kohde-Kilsch, West Germany,1963,,,"Ranked world No. 4 in 1985 • 1985 US Open women's doubles champion • 1987 
Wimbledon women's doubles champion • 1988 Olympic bronze medalist in 
women's doubles "
Zsuzsa Körmöczy, Hungary,1924,2006,1,Ranked world No. 2 at year-end in 1958 • 1958 French Championships champion
Ana Konjuh, Croatia,1997,,,Ranked world No. 20 in singles in 2017 
Johanna Konta, Australia  United Kingdom,1991,,,"Ranked career high world No.4 in singles in 2016 • 2016 Australian open 
Semifinalist "
Anett Kontaveit, Estonia,1995,,,Ranked world No. 20 in singles in 2018 
Klára Koukalová, Czech Republic,1982,,,Ranked world No. 20 in singles in 2013 and world No. 31 in doubles in 2014 
Anna Kournikova, Russia,1981,,,"Ranked world No. 8 in singles in 2000 and world No. 1 in doubles in 1999 • 
1999/2002 Australian Open women's doubles champion "
Karen Krantzcke, Australia,1946,1977,,"Ranked world No. 9 at year-end in 1970 • 1970 French Open semifinalist • 
1970/1977 Australian Open semifinalist • 1968 Australian Championships 
women's doubles champion "
Lina Krasnoroutskaya, Russia,1984,,,Ranked world No. 25 in singles and world No. 22 in doubles in 2004 
Barbora Krejčíková,Czech Republic,1995,,1,"Singles: ranked world No. 33 in 2021 • 2021 French Open champion ◌ Doubles: ranked world No. 1 in 2018 • 2018/2021 French Open champion • 
2018 Wimbledon champion "
Anne Kremer,Luxembourg,1975,,,Ranked world No. 18 in singles in 2002 
Joannette Kruger, South Africa,1973,,,Ranked world No. 21 in singles in 1998 and world No. 91 in doubles in 2002 
Marise Kruger, South Africa,1958,,,1978 Wimbledon quarterfinalist 
Kathy Kuykendall, United States,1956,,,1976 French Open quarterfinalist 
Svetlana Kuznetsova, Russia,1985,,2,Ranked world No. 2 at the end of the year in 2007 • 2004 US Open champion • 2005/2012 Australian Open women's doubles champion • 2009 French Open champion
Petra Kvitová, Czech Republic,1990,,2,Ranked world No. 2 in singles in 2011 • 2011/2014 Wimbledon champion
Simone Laffargue, France,,,,1945 French Championships runner-up 
Joan Fry, United Kingdom,1906,1985,,Ranked world No. 7 at year-end in 1926 • 1925 Wimbledon runner-up 
Dorothea Lambert Chambers, United Kingdom,1878,1960,7,1903/1904/1906/1910/1911/1913/1914 Wimbledon champion• 1908 Olympic gold medalist in singles 
Sylvia Lance Harper, Australia,1895,1982,1,"Ranked world No. 10 in 1924 • 1924 Australian Championships champion • 1923/1924/1925 Australian Championships women's doubles champion • 1923 
Australian Championships mixed doubles champion "
Nelly Adamson Landry, France,1916,2010,1,Ranked world No. 7 at year-end in 1946 • 1948 French Championships champion
Ethel Thomson Larcombe, United Kingdom,1879,1965,1,1912 Wimbledon champion • 1914 Wimbledon mixed doubles champion 
Silvana Lazzarino, Italy,1933,,,1954 French Championships semifinalist 
Andrea Leand, United States,1964,,,Ranked world No. 19 in 1983 
Jan Lehane O'Neill, Australia,1941,,,"Ranked world No. 7 at year-end in 1963 • 1960/1961/1962/1963 Australian 
Championships runner-up • 1960/1961 Australian Championships mixed doubles 
champion "
Suzanne Lenglen, France,1899,1938,12,Ranked world No. 1 at year-end from 1921 through 1926 • 1919/1920/1921/1922/1923/1925 Wimbledon champion • 1920/1921/1922/1923/1925/1926 French Championships champion
Varvara Lepchenko, Uzbekistan United States,1986,,,Ranked world No. 19 in singles 2012 and world No. 40 in doubles in 2013 
Dorothy Levine, United States,,,,1954 French Championships quarterfinalist 
Li Na, China,1982,,2,"Ranked world No. 2 in singles in 2014 and world No. 54 in doubles in 2006 • 
2011/2013 Australian Open runner-up • 2011 French Open champion • 2014 Australian Open champion"
Li Ting, China,1980,,,"Ranked world No. 136 in singles in 2005 and world No. 19 in doubles in 2004 
• Gold medalist in women's doubles at the 2004 Olympics "
Elena Likhovtseva, Russia,1975,,,"Ranked world No. 15 in singles in 1999 and world No. 3 in doubles in 2004 • 
2002 Wimbledon mixed doubles champion • 2007 Australian Open mixed doubles 
champion "
Catarina Lindqvist, Sweden,1963,,,Ranked world No. 10 in 1985 
Sabine Lisicki, Germany,1989,,,"Ranked world No. 12 and world No. 35 in doubles in 2012 • 2009 Wimbledon 
quarterfinalist • 2011 Wimbledon semifinalist • 2012 Wimbledon 
quarterfinalist • 2013 Wimbledon finalist • 2014 Wimbledon quarterfinalist "
Dorothy Round Little, United Kingdom,1908,1982,3,Ranked world No. 1 at year-end in 1934 • 1934/1937 Wimbledon champion • 1935 Australian Championships champion • 1934/1935/1936 Wimbledon mixed doubles champion 
Anita Lizana,Chile,1915,1994,1,Ranked world No. 1 at year-end in 1937 • 1937 U.S. Championships champion
Peanut Louie Harper, United States,1960,,,Ranked world No. 19 in singles in 1985 and world No. 31 in doubles in 1992 
Gail SherriffChanfreau Lovera, France,1945,,,1968/1971 French Open quarterfinalist 
Mirjana Lučić, Croatia,1982,,,"Ranked world No. 20 in singles in 2017 and world No. 19 in doubles in 1998 
• 1998 Australian Open women's doubles champion • 1999 Wimbledon 
semifinalist • 2017 Australian Open semifinalist "
Ivanna Madrgua-Osses, Argentina,1961,,,1980 French Open quarterfinalist • 1980/1983 US Open quarterfinalist 
Gretchen (Rush) Magers, United States,1964,,,Ranked world No. 3 in singles in 1985 and world No. 18 in doubles in 1990 
Iva Majoli, Croatia,1977,,1,Ranked world No. 4 in singles in 1996 and world No. 24 in doubles in 1995 • 1997 French Open champion
Ekaterina Makarova, Russia,1988,,,"Ranked world No. 8 in singles and world No. 3 in doubles in 2015 • 2013 
French Open women's doubles champion • 2014 US Open women's doubles 
champion • 2012 US Open mixed doubles champion • 2016 Olympics women's 
doubles gold medalist "
