,,,,,
Monica Seles, Yugoslavia  United States,1973,,9,"Ranked world No. 1 in singles at the end of 1991/1992/1995 and ranked world 
No. 16 in doubles in 1991 • 1991/1992/1993/1996 Australian Open champion • 1990/1991/1992 French Open champion • 1991/1992 US Open champion • 1990/1991/1992 WTA Finals champion • 1992 Wimbledon finalist • 2000 
Olympic bronze medalist "
Magüi Serna, Spain,1979,,,Ranked world No. 19 in singles and world No. 25 in doubles in 2004 
Anastasija Sevastova, Latvia,1990,,,Ranked world No. 11 in singles in 2018 • 2018 US Open semifinalist 
Maria Sharapova, Russia,1987,,5,Ranked world No. 1 in 2005 ◌ Singles: 2004 Wimbledon champion • 2006 US Open champion • 2008 Australian Open champion • 2012/2014 French Open champion • 2004 WTA Finals champion • 2012 Olympic silver medalist 
Meghann Shaughnessy, United States,1979,,,Ranked world No. 11 in singles in 2001 and world No. 4 in doubles in 2005 
Winnie Shaw, United Kingdom,1947,1992,,1970 Wimbledon quarterfinalist 
Dorothy Shepherd-Barron, United Kingdom,1897,1953,,"1921/1924 Wimbledon quarterfinalist • 1924 Olympic bronze medalist in 
women's doubles • 1931 Wimbledon women's doubles champion "
Betty Nuthall Shoemaker, United Kingdom,1911,1983,1,"Ranked world No. 4 at the end of the year in 1929 • 1930 U.S. Championships champion • 1930/1931/1933 U.S. Championships women's doubles champion • 1931 French 
Championships women's doubles champion • 1929/1931 U.S. Championships mixed 
doubles champion • 1931/1932 French Championships mixed doubles champion "
Pam Shriver, United States,1962,,,"Ranked world No. 3 in 1984 • 1984/1985/1987/1988 French Open women's 
doubles champion • 1981/1982/1983/1984/1986 Wimbledon women's doubles 
champion • 1983/1984/1986/1987/1991 US Open women's doubles champion • 
1982/1983/1984/1985/1987/1988/1989 Australian Open women's doubles champion 
• 1987 Wimbledon mixed-doubles champion "
Yaroslava Shvedova, Russia  Kazakhstan,1987,,,"Ranked world No. 25 in singles in 2012 and world No. 3 in doubles in 2016 • 
2010 Wimbledon women's doubles champion • 2010 US Open women's doubles 
champion "
Anne-Gaëlle Sidot, France,1979,,,Ranked world No. 24 in singles in 2000 and world No. 15 in doubles in 2001 
Laura Siegemund, Germany,1988,,,"Ranked world No. 27 in singles and world No. 40 in doubles in 2016 ◌ Mixed 
doubles: 2016 US Open champion "
Brigitte Simon-Glinel, France,1956,,,1978 French Open semifinalist 
Susan Sloane-Lundy, United States,1970,,,Ranked world No. 19 in 1989 
Anna Smashnova (Pistolesi), Israel,1976,,,Ranked world No. 15 in 2003 
Anne Smith, United States,1959,,,"Ranked world No. 12 in 1982 • 1981 Australian Open women's doubles champion 
• 1980/1982 French Open women's doubles champion • 1980 Wimbledon women's 
doubles champion • 1981 US Open women's doubles champion • 1980/1984 French 
Open mixed-doubles champion • 1982 Wimbledon mixed-doubles champion • 
1981/1982 US Open mixed-doubles champion "
Elizabeth Smylie, Australia,1963,,,"Ranked world No. 20 in singles in 1987 and world No. 5 in doubles in 1988 • 
1985 Wimbledon women's doubles champion • 1991 Wimbledon mixed-doubles 
champion • 1983/1990 US Open mixed-doubles champion "
Abigail Spears, United States,1981,,,2017 Australian Open mixed doubles champion 
Hilde Krahwinkel Sperling, Germany Denmark,1908,1981,3,Ranked world No. 2 at year-end in 1936 • 1935/1936/1937 French Championships champion • 1933 Wimbledon mixed doubles champion 
Irina Spîrlea, Romania,1974,,,Ranked world No. 7 in singles in 1997 and world No. 16 in doubles in 1995 
Karolina Šprem, Croatia,1984,,,Ranked world No. 17 in 2004 
Katarina Srebotnik, Slovenia,1981,,,"Ranked world No. 20 in singles in 2006 and world No. 3 in doubles in 2008 • 
1999/2006/2010 French Open mixed doubles champion • 2003 US Open mixed 
doubles champion • 2011 Australian Open mixed doubles champion "
Kay Stammers Bullitt, United Kingdom,1914,2005,,"Ranked world No. 2 at year-end in 1939 • 1935 French Championships women's 
doubles champion • 1935/1936 Wimbledon women's doubles champion "
Carolin Babcock Stark, United States,1912,1987,,"Ranked world No. 10 at year-end in 1934 and 1936 • 1936 U.S. Championships 
women's doubles champion "
Sloane Stephens, United States,1993,,1,"Ranked world No. 3 in singles in 2018 ◌ Singles: 2017 US Open champion • 2018 French Open finalist • 2013 Australian Open semifinalist • 2013 
Wimbledon quarterfinalist "
Greer Stevens, South Africa,1957,,,Ranked world No. 10 at year-end in 1980 • 1980 Wimbledon quarterfinalist 
Alexandra Stevenson, United States,1980,,,Ranked world No. 18 in singles in 2002 and world No. 67 in doubles in 2003 
Samantha Stosur, Australia,1984,,1,"Ranked world No. 4 in singles in 2011 and world No. 1 in doubles in 2006 ◌ 
Singles: 2011 US Open Champion • 2010 French Open finalist • 2010/2011 WTA Finals semifinalist ◌ Doubles: 
2006 French Open champion • 2005 US Open champion • 2005/2006 WTA Finals 
champion ◌ Mixed doubles: 2005 Australian Open champion • 2008/2014 
Wimbledon champion "
Betty Stöve, Netherlands,1945,,,"Ranked world No. 5 in 1977 • 1972/1979 French Open women's doubles champion 
• 1972 Wimbledon women's doubles champion • 1972/1977/1979 US Open women's 
doubles champion • 1978/1981 Wimbledon mixed-doubles champion • 1977/1978 
US Open mixed-doubles champion "
Barbora Strýcová, Czech Republic,1986,,,Ranked world No. 16 in singles and world No. 10 in doubles in 2017 
Rennae Stubbs, Australia,1971,,,"Ranked world No. 64 in 1996 • 2000 Australian Open women's doubles champion 
• 2001/2004 Wimbledon women's doubles champion • 2001 US Open women's 
doubles champion • 2000 Australian Open mixed-doubles champion • 2001 US 
Open mixed-doubles champion "
Paola Suárez, Argentina,1976,,,"Ranked world No. 9 in singles in 2004 and world No. 1 in doubles in 2002 ◌ 
Doubles: 2001/2002/2004/2005 French Open champion • 2002/2003/2004 US Open 
champion • 2004 Australian Open champion "
Carla Suárez Navarro, Spain,1988,,,"Ranked world No. 6 in singles in 2016 and world No. 11 in doubles in 2015 ◌ 
Singles: 2008/2014 French Open quarterfinalist • 2009/2016/2018 Australian 
Open quarterfinalist • 2013 US Open quarterfinalist "
Elena Subirats, Mexico,1947,,,1968 French Open quarterfinalist 
Ai Sugiyama, Japan,1975,,,"Ranked world No. 8 in singles in 2004 and world No. 1 in doubles in 2000 ◌ 
Doubles: 2000 US Open champion • 2003 French Open champion • 2003 Wimbledon 
champion ◌ Mixed doubles: 1999 US Open champion "
Helena Suková, Czech Republic,1965,,,"Ranked world No. 4 in 1985 • 1990/1992 Australian Open women's doubles 
champion • 1990 French Open women's doubles champion • 1987/1989/1990/1996 
Wimbledon women's doubles champion • 1985/1993 US Open women's doubles 
champion • 1991 French Open mixed-doubles champion • 1994/1996/1997 
Wimbledon mixed-doubles champion • 1993 US Open mixed-doubles champion "
Věra Suková, Czechoslovakia,1931,1982,,"Ranked world No. 5 at the end of the year in 1962 • 1962 Wimbledon finalist 
• 1957/1963 French semifinalist • 1962 US quarterfinalist ◌ Mixed doubles: 
1957 French champion "
Sheila Piercey Summers, South Africa,1919,2005,,"Ranked world No. 6 at the end of the year in 1947 • 1947/1949 French 
Championships mixed-doubles champion • 1949 Wimbledon mixed-doubles 
champion "
Sun Tiantian, China,1981,,,"Ranked world No. 77 in singles and world No. 16 in doubles in 2007 ◌ 
Doubles: 2004 Olympics gold medalist ◌ Mixed doubles: 2008 Australian Open 
champion "
Karen Hantze Susman, United States,1942,,1,"Ranked world No. 4 at the end of the year in 1962 • 1962 Wimbledon champion • 1961/1962 Wimbledon women's doubles champion • 1964 U.S Championships 
women's doubles champion "
May Sutton Bundy, United States,1886,1975,3,1904 U.S. Championships champion • 1905/1907 Wimbledon champion • 1904 U.S. Championships women's doubles champion 
Astrid Suurbeek, Netherlands,1947,,,1968 Australian Open quarterfinalist 
Elina Svitolina, Ukraine,1994,,,"Ranked world No. 3 in singles in 2017 and world No. 108 in doubles in 2015 
◌ Singles: 2019 Wimbledon semifinalist • 2019 US Open semifinalist • 2018 WTA Finals champion"
Mariaan de Swardt, South Africa,1971,,,"Ranked world No. 28 in singles in 1996 and world No. 11 in doubles in 1998 
• 1999 Australian Open mixed doubles champion • 2000 French Open mixed 
doubles champion "
Iga Świątek , Poland,2001,,1,Ranked world No. 17 in singles in 2020 • 2020 French Open singles champion 
Éva Szabó, Hungary,1945,,,1975 French Open quarter-finalist 
Ágnes Szávay, Hungary,1988,,,Ranked world No. 13 in singles in 2008 and world No. 22 in doubles in 2007 
Silvija Talaja, Croatia,1978,,,Ranked world No. 18 in singles in 2000 and world No. 54 in doubles in 2004 
Tamarine Tanasugarn, Thailand,1977,,,Ranked world No. 19 in singles in 2002 and world No. 15 in doubles in 2004 
Catherine Tanvier, France,1965,,,Ranked world No. 20 in singles in 1984 and world No. 16 in doubles in 1986 
Billie Tapscott, South Africa,1903,1970,,"1927 French, 1929 Wimbledon quarterfinalist "
Patricia Tarabini, Argentina,1968,,,"Ranked world No. 29 in singles and world No. 12 in doubles in 1888 • 1996 
French Open mixed doubles champion "
Nathalie Tauziat, France,1967,,,"Ranked world No. 3 in singles in 2000 and world No. 3 in doubles in 2002 ◌ 
Singles: 1998 Wimbledon finalist • 1991 French Open quarterfinalist • 2000 
US Open quarterfinalist "
Pam Teeguarden, United States,1951,,,1977 French Open quarterfinalist 
Judy Tegart Dalton, Australia,1937,,,"Ranked world No. 7 at the end of the year in 1968 • 1968 Wimbledon 
runner-up • 1964/1967/1969/1970 Australian Championships/Open women's 
doubles champion • 1966 Wimbledon women's doubles champion • 1966 French 
Championships women's doubles champion • 1970/1971 US Open women's doubles 
champion "
Andrea Temesvári, Hungary,1966,,,Ranked world No. 7 in 1984 • 1986 French Open women's doubles champion 
Sandrine Testud, France,1972,,,"Ranked world No. 9 in singles and world No. 8 in doubles in 2000 ◌ Singles: 
1997 US Open quarterfinalist • 1998 Australian Open quarterfinalist "
Patricia Canning Todd, United States,1922,2015,1,"Ranked world No. 4 at the end of the year in 1950 • 1947 French Championships champion • 1948 French Championships women's doubles champion • 1947 Wimbledon 
women's doubles champion • 1948 French Championships mixed doubles champion "
Renáta Tomanová, Czechoslovakia,1954,,,"Ranked world no. 22 ◌ Singles: 1976 Australian Open finalist • 1976 French 
Open finalist ◌ Doubles: 1978 Australian Open champion ◌ Mixed doubles: 
1978 French Open champion "
Christine Truman Janes, United Kingdom,1941,,1,Ranked world No. 2 at the end of the year in 1959 ◌ Singles: 1959 French champion ◌ Doubles: 1960 Australian champion 
Kay Tuckey, United Kingdom,,,,Ranked world No. 10 at year-end in 1951 • 1951 Wimbledon quarterfinalist 
Linda Tuero, United States,1950,,,1971 French Open quarter-finalist 
Iroda Tulyaganova, Uzbekistan,1982,,,Ranked world No. 16 in singles and world No. 28 in doubles in 2002 
Wendy Turnbull, Australia,1952,,,"Ranked world No. 3 in singles in 1985 • 1977 US Open runner-up • 1979 
French Open runner-up • 1980 Australian Open runner-up • 1978 Wimbledon 
women's doubles champion • 1979 French Open women's doubles champion • 
1979/1982 US Open women's doubles champion • 1979/1982 French Open 
mixed-doubles champion • 1980 US Open mixed-doubles champion • 1983/1984 
Australian Open mixed-doubles champion "
Lesley Turner Bowrey, Australia,1942,,2,"Ranked world No. 2 at the end of the year in 1963 • 1963/1965 French Championships champion • 1964/1965/1967 Australian Championships women's doubles champion • 
1964/1965 French Championships women's doubles champion • 1964 Wimbledon 
women's doubles champion • 1961 U.S. Championships women's doubles champion 
• 1961/1964 Wimbledon mixed doubles champion "
C Tyrell,,,,,1926 Wimbledon quarterfinalist 
Vladimíra Uhlířová, Czech Republic,1978,,,Ranked world No. 18 in doubles in 2007 
Nicole Vaidišová, Czech Republic,1989,,,"Ranked world No. 7 in singles in 2007 ◌ Singles: 2006 French Open 
semifinalist • 2007 Australian Open semifinalist • 2007/2008 Wimbledon 
quarterfinalist "
Lucia Valerio, Italy,1905,1996,,1933 Wimbledon quarterfinalist 
Molly Van Nostrand, United States,1965,,,1985 Wimbledon quarterfinalist 
Coco Vandeweghe, United States,1991,,,"Ranked world No. 9 in singles in 2017 and world No. 18 in doubles in 2016 ◌ 
Singles: 2017 Australian Open semifinalist • 2017 US Open semifinalist • 
2015/2017 Wimbledon quarterfinalist "
Yvonne Vermaak, South Africa,1956,,,Ranked world No. 20 in 1983 
Elena Vesnina, Russia,1986,,,"Ranked world No. 13 in singles in 2017 and world No. 3 in doubles in 2014 • 
2013 French Open women's doubles champion • 2014 US Open women's doubles 
champion • 2016 Australian Open mixed doubles champion • 2016 Olympics 
women's doubles gold medalist "
Roberta Vinci, Italy,1983,,,"Ranked world No. 12 in singles in 2013 and world No. 1 in doubles in 2012 • 
Year-end world No. 1 in doubles in 2012 • 2012 French Open women's doubles 
champion • 2012 US Open women's doubles champion • 2013 Australian Open 
women's doubles champion • ITF World Champion in doubles, 2012 (with Sara Errani) "
Erika Vollmer, Germany,1925,,,1953 Wimbledon quarterfinalist 
Vlasta Vopičková, Czechoslovakia,1944,,,1968 and 1970 French Open quarter-finalist 
Bernice Carr Vukovich, South Africa,1938,,,1960 US Open quarter-finals 
Virginia Wade, United Kingdom,1945,,3,"Ranked world No. 2 at the end of the year in 1968 • 1968 US Open champion • 1977 Wimbledon champion • 1972 Australian Open champion • 1973 Australian Open women's doubles champion • 1973 French Open women's 
doubles champion • 1973 and 1975 US Open women's doubles champion "
Jean Walker-Smith, United Kingdom,1924,2010,,"Ranked world No. 5 at the end of the year in 1951 • 1951 French 
Championships semifinalist "
Wang Qiang, China,1992,,,Ranked world No. 22 in singles in 2018 
Patricia Ward Hales, United Kingdom,1929,1985,,Ranked world No. 8 at the end of the year in 1956 
Heather Watson, United Kingdom,1992,,,2016 Wimbledon mixed doubles champion 
Maud Watson, United Kingdom,1864,1946,2,1884/1885 Wimbledon champion
Phoebe Holcroft Watson, United Kingdom,1898,1980,,"Ranked world No. 2 at year-end in 1929 • 1929 U.S. Championships runner-up 
• 1928/1929 Wimbledon women's doubles champion • 1929 U.S. Championships 
women's doubles champion • 1928 French Championships women's doubles 
champion "
Maria Teran Weiss, Argentina,1918,1984,,1948/1952 French quarterfinalist 
Alice Weiwers, Luxembourg,,,,1946 French quarterfinalist 
Mimi Arnold, United States,1939,,,1958 Wimbledon quarterfinalist 
Nancy Chaffee, United States,1929,2002,,Ranked world No. 4 at year-end in 1951 • 1951 Wimbledon quarterfinalist 
Anne White, United States,1961,,,Ranked world No. 19 in singles in 1986 and world No. 18 in doubles in 1988 
Robin White, United States,1963,,,"Ranked world No. 15 in singles in 1987 and world No. 8 in doubles in 1990 • 
1988 US Open women's doubles champion • 1989 US Open mixed-doubles champion "
Eileen Bennett Whittingstall, United Kingdom,1907,1979,,"Ranked world No. 3 at year-end in 1931 • 1928 French Championships 
runner-up • 1931 U.S. Championships runner-up • 1928/1931 French 
Championships women's doubles champion • 1931 U.S. Championships women's 
doubles champion • 1928/1929 French Championships mixed-doubles champion • 
1927 U.S. Championships mixed-doubles champion "
Yanina Wickmayer, Belgium,1989,,,"Ranked world No. 12 in singles and world No. 72 in doubles in 2010 ◌ 
Singles: 2009 US Open semifinalist "
Judith Wiesner, Austria,1966,,,"Ranked world No. 12 in singles in 1997 and world No. 29 in doubles in 1989 
• 1996 Wimbledon quaraterfinalist • 1996 US Open quarterfinalist "
Hazel Hotchkiss Wightman, United States,1886,1974,4,"1909/1910/1911/1919 U.S. Championships champion • 1909/1910/1911/1915/1924/1928 U.S. Championships women's doubles 
champion • 1924 Wimbledon women's doubles champion • 
1909/1910/1911/1915/1918/1920 U.S. Championships mixed doubles champion • 
1924 Olympic gold medalist in women's doubles and mixed doubles "
Serena Williams, United States,1981,,23,"Ranked world No. 1 at the end of the year in 2002, 2009, 2013, 2014 and 
2015, and ranked world No. 1 in doubles in 2010 • ITF World Champion: 
singles, 2002, 2009, 2012; doubles, 2009 (with Venus Williams) • 2003/2005/2007/2009/2010/2015/2017 Australian Open champion • 2002/2013/2015 French Open champion • 2002/2003/2009/2010/2012/2015/2016 Wimbledon champion • 1999/2002/2008/2012/2013/2014 US Open champion • 2012 Olympic Singles Gold Medalist • 2000/2008/2012 Olympic Doubles Gold 
Medalist • 2001/2003/2009/2010 Australian Open women's doubles champion • 
1999/2010 French Open women's doubles champion • 
2000/2002/2008/2009/2012/2016 Wimbledon women's doubles champion • 
1999/2009 US Open women's doubles champion • 1998 Wimbledon mixed-doubles 
champion • 1998 US Open mixed-doubles champion • Ranked world No. 1 for a 
total of 300 weeksSee also:Williams sisters"
Venus Williams, United States,1980,,7,"Ranked world No. 1 in singles in 2002 and world No. 1 in doubles in 2010 • 
ITF World Champion in doubles, 2009 (with Serena Williams) • 2000/2001/2005/2007/2008 Wimbledon champion • 2000/2001 US Open champion • 2000 Olympic Singles Gold Medalist • 2000/2008/2012 Olympic Doubles Gold 
Medalist • 2001/2003/2009/2010 Australian Open women's doubles champion • 
1999/2010 French Open women's doubles champion • 
2000/2002/2008/2009/2012/2016 Wimbledon women's doubles champion • 
1999/2009 US Open women's doubles champion • 1998 Australian Open 
mixed-doubles champion • 1998 French Open mixed-doubles champion • Ranked 
world No. 1 for a total of 11 weeksSee also:Williams sisters"
Julia Wipplinger, South Africa,1923,,,1952 French quarterfinalist 
Marianne Werdel Witmeyer, United States,1967,,,Ranked world No. 21 in singles in 1995 and world No. 45 in doubles in 1992 
Caroline Wozniacki, Denmark,1990,,1,"Ranked world No. 1 in singles at the end of the year in 2010 and world No. 
52 in doubles in 2014 ◌ Singles: 2018 Australian Open champion • 2009/2014 US Open finalist • 2010/2017 French Open quarterfinalist • 
2017 WTA Finals champion "
Aleksandra Wozniak, Canada,1987,,,Ranked world No. 21 in 2009 
Yan Zi, China,1984,,,"Ranked world No. 40 in singles in 2008 and world No. 4 in doubles in 2006 • 
2006 Australian Open women's doubles champion • 2006 Wimbledon women's 
doubles champion "
Zhang Shuai, China,1989,,,Ranked world No. 23 in singles in 2016 
Zheng Jie, China,1983,,,"Ranked world No. 15 in singles in 2009 and world No. 3 in doubles in 2006 • 
2006 Australian Open women's doubles champion • 2006 Wimbledon women's 
doubles champion "
Radka Zrubáková, Czech Republic,1970,,,Ranked world No. 22 in singles in 1991 and world No. 38 in doubles in 1993 
Fabiola Zuluaga, Colombia,1979,,,Ranked world No. 16 in singles in 2005 
Natasha Zvereva, Belarus,1971,,,"Ranked world No. 5 in singles in 1989 and world No. 1 in doubles in 1991 • 
1989/1992/1993/1994/1995/1997 French Open women's doubles champion • 
1991/1992/1995/1996 US Open women's doubles champion • 
1991/1992/1993/1994/1997 Wimbledon women's doubles champion • 
1993/1994/1997 Australian Open women's doubles champion • 1990 & 1995 
Australian Open mixed-doubles champion "
Vera Zvonareva, Russia,1984,,,"Ranked world No. 2 in singles in 2010 and world No. 9 in doubles in 2005 • 
2006 US Open women's doubles champion • 2012 Australian Open women's 
doubles champion • 2004 US Open mixed-doubles champion • 2006 Wimbledon 
mixed-doubles champion "
".mw-parser-output 
.navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output 
.navbar-collapse{float:left;text-align:left}.mw-parser-output 
.navbar-boxtext{word-spacing:0}.mw-parser-output .navbar 
ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output 
.navbar-brackets::before{margin-right:-0.125em;content:""[ 
""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" 
]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output 
.navbar-mini 
abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output 
.navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output 
.navbar-ct-mini{font-size:114%;margin:0 4em}.mw-parser-output .infobox 
.navbar{font-size:100%}.mw-parser-output .navbox 
.navbar{display:block;font-size:100%}.mw-parser-output .navbox-title 
.navbar{float:left;text-align:left;margin-right:0.5em}vteTennis records and statistics",,,,,
Grand Slam,"Singles Men's champions Chronological Women's champions Chronological 
Finals Open Era Men's finals Women's finals Records Age at first title 
Champions by country Boys' champions Girls' champions Doubles Men's 
champions Women's champions Mixed champions Champions by country Boys' 
champions Girls' champions ",,,,
Singles," Men's champions Chronological Women's champions Chronological Finals Open 
Era Men's finals Women's finals Records Age at first title Champions by 
country Boys' champions Girls' champions ",,,,
Doubles," Men's champions Women's champions Mixed champions Champions by country 
Boys' champions Girls' champions ",,,,
Men's,"Singles Open Era records All-time records ATP records Masters records Big 
Titles champions Rankings World No. 1 All-time No. 1s World Champions Top 
players ATP Awards Misc. Doubles Rankings World No. 1 World Champions 
Masters champions Big Titles champions Top players ",,,,
Singles," Open Era records All-time records ATP records Masters records Big Titles 
champions Rankings World No. 1 All-time No. 1s World Champions Top players 
ATP Awards Misc. ",,,,
Doubles," Rankings World No. 1 World Champions Masters champions Big Titles 
champions Top players ",,,,
Women's," Open Era records All-time records WTA records Tier I/Premier champions 
Rankings World No. 1 All-time No. 1s World Champions Top players WTA Awards ",,,,
Other lists," Notable rivalries Open Era Titles leaders Players' achievements Ranking 
per country Tournaments Singles Doubles Olympics ITF Rankings Davis Cup 
champions Billie Jean King Cup champions ",,,,
" Matches Longest Shortest Bagel Golden set Tiebreaker Serving Speed Aces 
Double faults ",,,,,
