,,,,,,
Name,Birth,Death,Nationality, HoF ,Rank[a],Highest inclusion criteria 
Robert Abdesselam,1920,2006, France,,,1949 French Championships quarterfinalist 
José Acasuso,1982,–, Argentina,,20,Ranking in 2006 
András Ádám-Stolpa,1921,2010, Hungary,,,1947 French Championships quarterfinalist 
Andre Agassi,1970,–, United States,2011,1,Winner of 8 Grand Slam titles and a career Golden Grand Slam completed in 1999 + 1 Olympic gold medal → 1992 Wimbledon champion • 1994/1999 US Open champion • 1995/2000/2001/2003 Australian Open champion • 1999 French Open champion • 1996 Olympic gold medalist • 1990 ATP Tour World Championships winner • ranking world no. 1 for 101 weeks 
Ronald Agénor,1964,–, Haiti,,22,1989 French Open quarterfinalist • ranking in 1989 
Juan Aguilera,1962,–, Spain,,7,Ranking in 1984 
Roberto Bautista Agut,1988,–, Spain,,9,Ranking in 2020 • 2016 Olympics quarterfinals • 2019 Wimbledon semifinalist 
Karim Alami,1973,–, Morocco,,25,Ranking in 2000 
Fred Alexander,1880,1969, United States,1961,,Winner of 1 Grand Slam title → 1908 Australasian Championships winner
John Alexander,1951,–, Australia,,8,1977 (December) Australian Open semifinalist • ranking in 1975 
"Wilmer Allison, Jr.",1904,1977, United States,1963,4,"Winner of 1 Grand Slam title → 1935 United States champion, 1934 finalist • 1930 Wimbledon finalist • ranking in 1932 and 1935 "
Nicolás Almagro,1985,–, Spain,,9,"2008/2010/2012 French Open quarterfinalist •2013 Australian Open 
quarterfinalist• ranking in 2011 "
Manuel Alonso,1895,1984, Spain,1977,5,1921 Wimbledon semifinalist • rated world no. 5 in 1927 
Felicisimo Ampon,1920,1997, Philippines,,,"1952, 1953 French Championships quarterfinalist "
Vijay Amritraj,1953,–, India,,16,"1973 and 1981 Wimbledon quarterfinalist • 1973 and 1974 U.S. Open 
quarterfinalist • ranking in 1980 "
Mario Ančić,1984,–, Croatia,,7,2004 Wimbledon semifinalist • ranking in 2006 
James Anderson,1894,1973, Australia,2013,3,"Winner of 3 Grand Slam titles → 1922, 1924 and 1925 Australasian champion • rated world no. 3 in 1924 and 1925 "
Kevin Anderson,1986,–, South Africa,,5,2018 Wimbledon finalist • 2017 US Open finalist • ranking in 2018 
Mal Anderson,1935,–, Australia,2000,2,Winner of 1 Grand Slam title → 1957 United States champion • rated amateur world no. 2 in 1957 and 1958 
Igor Andreev,1983,–, Russia,,18,2007 French Open quarterfinalist • ranking in 2008 
John Andrews,1952,–, United States,,,1975 French Open quarterfinalist 
Matt Anger,1963,–, United States,,23,Ranking in 1986 
Paul Annacone,1963,–, United States,,12,1984 Wimbledon quarterfinalist • Ranking in 1986 
Hicham Arazi,1973,–, Morocco,,22,"1997 and 1998 French Open quarterfinalist • 2000 and 2004 Australian Open 
quarterfinalist • ranking in 2001 "
Jimmy Arias,1964,–, United States,,5,1983 U.S. Open semifinalist • ranking in 1984 
Jordi Arrese,1964,–, Spain,,23,1992 Olympic silver medalist • ranking in 1991 
József Asbóth,1917,1986, Hungary,,,Winner of 1 Grand Slam title → 1947 French champion • 1948 Wimbledon semifinalist 
Arthur Ashe,1943,1993, United States,1985,2,Winner of 3 Grand Slam titles → 1968 U.S. Open champion • 1970 Australian Open champion • 1975 Wimbledon champion • ranking in 1975 
Félix Auger-Aliassime,2000,–, Canada,,17,Ranking in 2019 
Bunny Austin,1906,2000, Great Britain,1997,2,"1932 and 1938 Wimbledon finalist • 1937 French finalist • amateur ranking 
in 1931 "
Luis Ayala,1932,–, Chile,,5,1958 and 1960 French finalist • ranking in 1958 
Wilfred Baddeley,1872,1929, Great Britain,2013,,"Winner of 3 Grand Slam titles → 1891, 1892 and 1895 Wimbledon champion, 1893, 1894 and 1896 runner-up "
Marcos Baghdatis,1985,–, Cyprus,,8,"2006 Australian Open finalist • 2006 Wimbledon semifinalist • ranking in 
2006 "
Corrado Barazzutti,1953,–, Italy,,7,"1977 U.S. Open semifinalist • 1978 French Open semifinalist • ranking in 
1978 "
Herbert Roper Barrett,1873,1943, Great Britain,,,"1908, 1909 and 1911 Wimbledon finalist • 1908 Olympic gold medalist "
Pierre Barthès,1941,–, France,,,Ranked a world top-20 player for 1971 
Nikoloz Basilashvili,1992,–, Georgia,,16,Ranking in 2019 
Alfred Beamish,1879,1944, Great Britain,,,1912 Australasian championships finalist 
Boris Becker,1967,–, West Germany/Germany,2003,1,Winner of 6 Grand Slam titles → 1985/1986/1989 Wimbledon champion • 1989 U.S. Open champion • 1991/1996 Australian Open champion • 1988 Masters Grand Prix champion; 1992/1995 ATP Tour World champion • ranking world no. 1 for 12 weeks in 1991 
Karl Behr,1885,1949, United States,1969,,1906 U.S. Championship finalist 
Mike Belkin,1945,–, Canada,,,1968 Australian Championships quarterfinalist 
Thomaz Bellucci,1987,–, Brazil,,21,Ranking in 2010 
Eduardo Bengoechea,1959,–, Argentina,,21,Ranking in 1987 
Julien Benneteau,1981,–, France,,25,2006 French Open quarterfinalist • ranking in 2014 
Alberto Berasategui,1973,–, Spain,,7,1994 French Open finalist • ranking in 1994 
Tomáš Berdych,1985,–, Czech Republic,,4,2010 Wimbledon finalist • 2011 Tour Finals semifinalist • ranking in 2015 
Lennart Bergelin,1925,2008, Sweden,,,1946/1948/1951 Wimbledon quarterfinalist 
Jay Berger,1966,–, United States,,7,"1989 U.S. Open quarterfinalist • 1989 French Open quarterfinalist • ranking 
in 1990 "
Christian Bergström,1967,–, Sweden,,,1993 Australian Open quarterfinalist 
Marcel Bernard,1914,1994, France,,,Winner of 1 Grand Slam title → 1946 French Championships champion
Matteo Berrettini,1996,–, Italy,,8,2019 US Open semifinalist • Ranking in 2019 
Paolo Bertolucci,1951,–, Italy,,12,1973 French Open quarterfinalist • ranking in 1973 
Henry Billington,1909,1980, Great Britain,,,1939 French Championships quarterfinalist 
Jonas Björkman,1972,–, Sweden,,4,1997 U.S. Open semifinalist • 2006 Wimbledon semifinalist • ranking in 1997 
Byron Black,1969,–, Zimbabwe,,22,"1995 U.S. Open quarterfinalist • 2000 Wimbledon quarterfinalist • ranking 
in 1996 "
James Blake,1979,–, United States,,4,"2005/2006 U.S. Open quarterfinalist • 2008 Australian Open quarterfinalist 
• 2006 Tour Finals finalist • ranking in 2006 "
Galo Blanco,1976,–, Spain,,,1997 French Open quarterfinalist 
Arnaud Boetsch,1969,–, France,,12,Ranking in 1996 
Björn Borg,1956,–, Sweden,1987,1,"Winner of 11 Grand Slam titles → 1974/1975/1978/1979/1980/1981 French Open champion • 1976/1977/1978/1979/1980 Wimbledon champion • 1979/1980 Masters Grand Prix champion • ranking world no. 1 for 109 weeks → for 1 week in 1977, 32 in 1979, 49 in 1980 and 27 in 1981 "
Jean Borotra,1898,1994, France,1976,2,Winner of 5 Grand Slam titles → 1924 and 1931 French champion • 1924 and 1926 Wimbledon champion • 1928 Australian champion • ranking in 1926 
Jeff Borowiak,1949,–, United States,,25,Ranking in 1977 
William Bowrey,1943,–, Australia,,,Winner of 1 Grand Slam title → 1968 Australian champion
Christian Boussus,1908,2003, France,,,"1931 French Championships finalist, 1928 Wimbledon semifinalist "
Jacques Brichant,1930,2011, Belgium,,,1958 French Championships semifinalist 
Godfrey Brinley,1864,1939, United States,,,1885 U.S. Championships finalist 
John Bromwich,1918,1999, Australia,1984,2,Winner of 2 Grand Slam titles → 1939 and 1946 Australian champion • ranking in 1939 
Norman Brookes,1877,1968, Australia,1977,,Winner of 3 Grand Slam titles → 1907 and 1914 Wimbledon champion • 1911 Australasian champion
Geoff Brown,1924,–, Great Britain,,3,1946 Wimbledon finalist • amateur ranking in 1946 
Tom Brown,1922,2011, United States,,,1946 United States finalist • 1947 Wimbledon finalist 
Sergi Bruguera,1971,–, Spain,,3,Winner of 2 Grand Slam titles → 1993/1994 French Open champion • 1996 Olympic silver medalist • ranking in 1994 
Butch Buchholz,1940,–, United States,2005[b],5,1960 U.S. National semifinalist • ranking in 1960 
Don Budge,1915,2000, United States,1964,1,"Winner of 6 Grand Slam titles → 1937 and 1938 Wimbledon champion • 1937 and 1938 United States champion • 1938 French champion • 1938 Australian champion • rated amateur world no. 1 for 2 years, 1937 through 1938 "
Pablo Carreño Busta,1991,–, Spain,,10,Ranking in 2017 • 2017/2020 U.S. Open semifinalist 
Darren Cahill,1965,–, Australia,,22,Ranking in 1989 • 1988 U.S. Open semifinalist 
Oliver Campbell,1871,1953, United States,1955,,"Winner of 3 Grand Slam titles → 1890, 1891 and 1892 United States champion"
Agustín Calleri,1976,–, Argentina,,16,Ranking in 2003 
Omar Camporese,1968,–, Italy,,18,Ranking in 1992 
Francesco Cancellotti,1963,–, Italy,,21,Ranking in 1985 
Guillermo Cañas,1977,–, Argentina,,8,Ranking in 2005 ◌ 2002/2005/2007 French Open quarterfinalist 
Cristiano Caratti,1970,–, Italy,,,1991 Australian Open quarterfinalist 
Kent Carlsson,1968,–, Sweden,,6,Ranking in 1988 
Ross Case,1951,–, Australia,,13,Ranking in 1976 ◌ 1974 Australian Open semifinalist 
Pat Cash,1965,–, Australia,,4,Winner of 1 Grand Slam title → 1987 Wimbledon champion • ranking in 1988 
Marco Cecchinato,1992,–, Italy,,16,2018 French Open semifinalist • ranking in 2019 
František Cejnar,1917,1965, Czechoslovakia,,,"1937, 1938 French Championships quarterfinalist • 1938 Wimbledon 
quarterfinalist "
Malcolm Chace,1875,1955, United States,1961,,1894 United States semifinalist 
Thierry Champion,1966,–, France,,,1990 French Open quarterfinalist • 1991 Wimbledon quarterfinalist 
Michael Chang,1972,–, United States,2008,2,Winner of 1 Grand Slam title → 1989 French Open champion • ranking in 1996 
Jérémy Chardy,1987,–, France,,25,2013 Australian Open quarterfinalist • ranking in 2013 
Juan Ignacio Chela,1979,–, Argentina,,15,"2004/2011 French Open quarterfinalist • 2007 US Open quarterfinalist • 
ranking in 2004 "
Andrei Cherkasov,1970,–, Soviet Union/ Russia,,13,"1990 Australian Open quarterfinalist • 1990 U.S. Open quarterfinalist • 
ranking in 1991 "
Andrei Chesnokov,1966,–, Soviet Union/ Russia,,9,1989 French Open semifinalist • ranking in 1991 
Herbert Chipp,1850,1903, Great Britain,,,1884 Wimbledon semifinalist 
Marin Čilić,1988,–, Croatia,,3,"2014 U.S. Open champion • 2017 Wimbledon finalist • 2018 Australian Open finalist • 2010 
Australian Open semifinalist • 2015 US Open semifinalist • 2017/2018 French 
Open quarterfinalist • ranking in 2018 "
Francisco Clavet,1968,–, Spain,,18,Ranking in 1992 
Arnaud Clément,1977,–, France,,10,2001 Australian Open finalist • ranking in 2001 
José Luis Clerc,1958,–, Argentina,,4,1981 and 1982 French Open semifinalist • ranking in 1981 
William Clothier,1881,1962, United States,1956,,Winner of 1 Grand Slam title → 1906 United States champion
Henri Cochet,1901,1987, France,1976,1,"Winner of 7 Grand Slam titles → 1922, 1926, 1928, 1930 and 1932 French champion • 1927 and 1929 Wimbledon champion • 1928 United States champion • rated world no. 1 amateur for 3 years, 1928 through 1930 "
Jimmy Connors,1952,–, United States,1998,1,"Winner of 8 Grand Slam titles → 1974 Australian Open champion, 1975 finalist • 1974 and 1982 Wimbledon champion • 1974, 1976, 1978, 1982 and 1983 U.S. Open champion • 1977 Masters Grand Prix champion • ranking world no. 1 for 268 weeks → 22 weeks in 1974, 52 weeks in 1975, 52 weeks in 1976, 51 weeks in 1977, 
52 weeks in 1978, 22 weeks in 1979, 8 weeks in 1982 and 9 weeks in 1983 "
Elwood Cooke,1913,2004, United States,,,1939 Wimbledon finalist 
Ashley Cooper,1936,2020, Australia,1991,1,Winner of 4 Grand Slam titles → 1957 and 1958 Australian champion • 1958 Wimbledon champion • 1958 United States champion • amateur ranking no. 1 for 1957 and 1958 
John Cooper,1946,–, Australia,,,1971 and 1972 Australian Open quarterfinalist 
Patricio Cornejo,1944,–, Chile,,,1974 French Open quarterfinalist 
Guillermo Coria,1982,–, Argentina,,3,2004 French Open finalist • ranking in 2004 
Borna Ćorić,1996,–, Croatia,,12,2020 US Open quarterfinalist • ranking in 2018 
Àlex Corretja,1974,–, Spain,,2,1998/2001 French Open finalist • 1998 Masters champion • ranking in 1999 
Albert Costa,1975,–, Spain,,6,Winner of 1 Grand Slam title → 2002 French Open champion • ranking in 2002 
Carlos Costa,1968,–, Spain,,10,Ranking in 1992 
Jim Courier,1970,–, United States,2005,1,Winner of 4 Grand Slam titles → 1991 and 1992 French Open champion • 1992 and 1993 Australian Open champion • ranking world no. 1 for 58 weeks in 1992 
Mark Cox,1943,–, Great Britain,,13,1971 Australian Open quarterfinalist • ranking in 1977 
Gottfried von Cramm,1909,1976,/ Germany,1977,,"Winner of 2 Grand Slam titles → 1934/1936 French champion, 1935 finalist • 1935/1936/1937 Wimbledon finalist • 1937 U.S. finalist "
Jack Crawford,1908,1991, Australia,1979,1,"Winner of 6 Grand slam titles → 1931, 1932, 1933 and 1935 Australian champion • 1933 French champion • 1933 Wimbledon champion • amateur ranking, 1933 "
Dick Crealy,1944,–, Australia,,,1970 Australian Open finalist 
Gianni Cucelli,1916,1977, Italy,,,"1947, 1948 and 1949 French Championships quarterfinalist "
Pablo Cuevas,1986,–, Uruguay,,19,Ranking in 2016 
Kevin Curren,1958,–, South Africa/ United States,,5,1984 Australian Open finalist • 1985 Wimbledon finalist • ranking in 1985 
Sven Davidson,1928,2008, Sweden,2007,,Winner of 1 Grand slam title → 1957 French champion
Dwight Davis,1879,1945, United States,1956,,1898 United States finalist 
Scott Davis,1962,–, United States,,11,1984 Australian Open quarterfinalist • ranking in 1985 
Franco Davín,1970,–, Argentina,,,1991 French Open quarterfinalist 
Nikolay Davydenko,1981,–, Russia,,3,"2005/2007 French Open semifinalist • 2006/2007 U.S. Open semifinalist • 
2009 Tour Finals champion • ranking in 2006 "
Max Decugis,1882,1978, France,,,"1911, 1912 Wimbledon semifinalist • 1906 Olympic gold medalist "
Juan Martín del Potro,1988,–, Argentina,,3,"Winner of 1 Grand Slam title → 2009 U.S. Open champion • 2009 Tour finals finalist • 2016 Olympics silver medalist • ranking in 
2018 "
Alex de Minaur,1999,–, Australia,,18,2020 US Open quarterfinalist • ranking in 2019 
Phil Dent,1950,–, Australia,,17,1974 Australian Open finalist • ranking in 1977 
Taylor Dent,1981,–, United States,,21,Ranking in 2005 
Steve Denton,1956,–, United States,,12,1981 and 1982 Australian Open finalist • ranking in 1983 
Bernard Destremau,1917,2002, France,,,1937 French Championships semifinalist 
Filip Dewulf,1972,–, Belgium,,,1997 French Open semifinalist 
Colin Dibley,1944,–, Australia,,,1979 Australian Open semifinalist 
Eddie Dibbs,1951,–, United States,,5,1975 and 1976 French Open semifinalist • ranking in 1978 
Mark Dickson,1959,–, United States,,,1983 U.S. Open quarterfinalist 
Keith Diepraam,1942,–, South Africa,,,1965 Wimbledon quarterfinalist 
Grigor Dimitrov,1991,–, Bulgaria,,3,"2014 Wimbledon semifinalist • 2017 Australian Open semifinalist • 2019 US 
Open semifinalist • ranking in 2017 • 2017 Tour Finals champion"
Charles P. Dixon,1873,1939, Great Britain,,,"1901, 1911 Wimbledon finalist "
Arnaud Di Pasquale,1979,–, France,,,2000 Olympic bronze medalist 
Novak Djokovic,1987,–, Serbia,,1,"Winner of 19 Grand Slam titles including a double Career Grand Slam in 2016 
and 2021 → 2008/2011/2012/2013/2015/2016/2019/2020/2021 Australian Open champion (9) • 2011/2014/2015/2018/2019 Wimbledon champion (5) • 2011/2015/2018 U.S. Open champion (3) • 2016/2021 French Open champion (2) • 2008/12/13/14/15 Tour finals champion (5) • 2008 Olympic bronze medalist • ranking world no. 1 at a record of 316 weeks (2011-2021) "
John Doeg,1908,1978, United States,1962,,1930 United States champion
Laurence Doherty,1875,1919, Great Britain,1980,,"Winner of 6 Grand Slam titles and 1 Olympic gold medal → 1902, 1903, 1904, 1905 and 1906 Wimbledon champion • 1903 United States champion • 1900 Olympic gold medalist"
Reginald Doherty,1872,1910, Great Britain,1980,,"Winner of 4 Grand Slam titles → 1897, 1898, 1899 and 1900 Wimbledon champion • 1902 United States runner-up "
Alexandr Dolgopolov,1988,–, Ukraine,,13,2011 Australian Open quarterfinalist • ranking in 2012 
Irvin Dorfman,1926,2006, United States,,,1950 French Championships quarterfinalist 
Sláva Doseděl,1970,–, Czech Republic,,,1999 U.S. Open quarterfinalist 
Stanley Doust,1879,1961, Australia,,,1913 Wimbledon finalist 
Hendrik Dreekmann,1975,–, Germany,,,1994 French Open quarterfinalist 
Brad Drewett,1958,2013, Australia,,,1975 Australian Open quarterfinalist 
Jaroslav Drobný,1921,2001,// Czechoslovakia/Egypt,1983,,Winner of 3 Grand Slam titles → 1951 and 1952 French champion • 1954 Wimbledon champion
Cliff Drysdale,1941,–, South Africa,2013[b],13,"1968 U.S. Open quarterfinalist • 1969 Wimbledon quarterfinalist • 1971 
Australian Open quarterfinalist • ranking in 1974 "
Robin Drysdale,1952,–, Great Britain,,,1977 (December) Australian Open quarterfinalist 
Pat Du Pré,1954,–, United States,,14,1979 Wimbledon semifinalist • ranking in 1980 
James Dwight,1852,1917, United States,1955,,1883 U.S. Championship finalist 
Wilberforce Eaves,1867,1920, Great Britain,,,"1895, 1896, 1897 Wimbledon finalist • 1897(Ch) U.S. Championships finalist 
• 1908 Olympic bronze medalist "
Stefan Edberg,1966,–, Sweden,2004,1,"Winner of 6 Grand Slam titles → 1985 and 1987 Australian Open champion • 1988 and 1990 Wimbledon champion • 1991 and 1992 U.S. Open champion • 1989 Masters Grand Prix champion • ranking no. 1 for 72 weeks → 21 weeks in 1990, 40 in 1991 and 11 in 1992 "
Mark Edmondson,1954,–, Australia,,15,Winner of 1 Grand slam title → 1976 Australian Open champion • ranking in 1982 
Kyle Edmund,1995,–, Great Britain,,14,2018 Australian Open semifinalist • ranking in 2018 
Younes El Aynaoui,1971,–, Morocco,,14,"2000 and 2003 Australian Open quarterfinalist • 2002 and 2003 U.S. Open 
quarterfinalist • ranking in 2003 "
Ismail El Shafei,1947,–, Egypt,,,1974 Wimbledon quarterfinalist 
Jacco Eltingh,1970,–, Netherlands,,19,"1995 Australian Open quarterfinalist, 1995 Wimbledon quarterfinalist • 
ranking in 1995. "
Roy Emerson,1936,–, Australia,1982,1,"Winner of 12 Grand Slam titles → 1961, 1963, 1965, 1966 and 1967 Australian champion • 1961 and 1964 United States champion • 1963 and 1967 French champion • 1964 and 1965 Wimbledon champion • ranking world no. 1 amateur for two years, 1964 and 1965 "
Thomas Enqvist,1974,–, Sweden,,4,"1999 Australian Open finalist, 1996 quarterfinalist • 2001 Wimbledon 
quarterfinalist • ranking in 199 "
Nicolas Escudé,1976,–, France,,17,1998 Australian Open semifinalist • ranking in 2000 
Lestocq Robert Erskine,1857,1916, Great Britain,,,1878 Wimbledon All Comers finalist 
Kelly Evernden,1961,–, New Zealand,,,1987 Australian Open quarterfinalist 
Brian Fairlie,1948,–, New Zealand,,24,Ranking in 1973 
Robert Falkenburg,1926,–, United States,1974,,Winner of 1 Grand Slam title → 1948 Wimbledon champion
Roger Federer,1981,–, Switzerland,,1,Winner of 20 Grand Slam titles and a career Grand Slam completed in 2009 ◌ 2003/2004/2005/2006/2007/2009/2012/2017 Wimbledon champion (8) • 2004/2006/2007/2010/2017/2018 Australian Open champion (6) • 2004/2005/2006/2007/2008 U.S. Open champion (5) • 2009 French Open champion • 2003/2004/2006/2007/2010/2011 Tour Finals champion (6) • 2012 Olympics silver medalist ◌ Ranking: world no. 1 for 310 weeks (2004-2018) of which 237 consecutive (also a record) (2004-2008) 
Peter Feigl,1951,–, Austria,,,1978 Australian Open quarterfinalist 
Wayne Ferreira,1971,–,/ South Africa,,6,"1992 and 2003 Australian Open semifinalist • 1992 Olympic silver medalists 
• ranking in 1995 "
David Ferrer,1982,–, Spain,,3,2013 French Open finalist • 2007 Tour Finals finalist • ranking in 2013 
Juan Carlos Ferrero,1980,–, Spain,,1,"Winner of 1 Grand Slam title → 2003 French Open champion • 2002 Tour Finals finalist, 2001 semifinalist • ranking world no. 1 for 8 weeks, in 2003 "
Wojtek Fibak,1952,–, Poland,,10,"1977 and 1980 French Open quarterfinalist • 1980 Wimbledon quarterfinalist 
• 1980 U.S. Open quarterfinalist • ranking in 1977 "
Marcelo Filippini,1967,–, Uruguay,,,1999 French Open quarterfinalist 
Jaime Fillol,1946,–, Chile,,14,1975 U.S. Open quarterfinalist • ranking in 1974 
Mardy Fish,1981,–, United States,,7,"2007 Australian Open quarterfinalist • 2008 U.S. Open quarterfinalist • 
2011 Wimbledon quarterfinalist • 2004 Olympic single silver medalist • 
ranking in 2011 "
John Fitzgerald,1960,–, Australia,,25,Ranking in 1988 
Herbie Flam,1928,1980, United States,,5,1950 United States finalist • 1957 French finalist • ranking in 1957 
Peter Fleming,1955,–, United States,,8,1980 Wimbledon quarterfinalist • ranking in 1980 
Fabio Fognini,1987,–, Italy,,9,2011 French Open quarterfinalist • ranking in 2019 
Gordon Forbes,1934,–, South Africa,,,1962 United States quarterfinalist 
Guy Forget,1965,–, France,,4,"1991 and 1993 Australian Open quarterfinalist • 1991, 1992 and 1994 
Wimbledon quarterfinalist • ranking in 1991 "
Željko Franulović,1947,–, Yugoslavia,,8,1970 French Open finalist • ranking in 1991 
 Neale Fraser,1933,–, Australia,1984,1,"Winner of 3 Grand Slam titles → 1959 and 1960 United States champion • 1960 Wimbledon champion • amateur No. 1 ranking, 1959 and 1960 "
Rod Frawley,1952,–, Australia,,,1979 Australian Open quarterfinalist 
Taylor Fritz,1997,–, United States,,24,Ranking in 2020 
Frank Froehling,1942,2020, United States,,,1971 French Open semifinalist 
Otto Froitzheim,1884,1962, Germany,,,1914 Wimbledon finalist • 1908 Olympic silver medalist 
Richard Fromberg,1970,–, Australia,,24,Ranking in 1990 
Renzo Furlan,1970,–, Italy,,19,1995 French Open quarterfinalist • ranking in 1996 
Jan-Michael Gambill,1977,–, United States,,14,2004 Wimbledon quarterfinalist • ranking in 2001 
Guillermo García-López,1983,–, Spain,,23,Ranking in 2011 
Cristian Garín,1996,–, Chile,,18,Ranking in 2020 
Chuck Garland,1898,1971, United States,,,"1919, 1920 Wimbledon semifinalist "
Richard Gasquet,1986,–, France,,7,"2007 and 2015 Wimbledon semifinalist • 2013 US Open semifinalist • ranking 
in 2007 "
Andrea Gaudenzi,1973,–, Italy,,18,Ranking in 1995 
Gastón Gaudio,1978,–, Argentina,,5,Winner of 1 Grand Slam title → 2004 French Open champion • 2005 Tour Finals semifinalist • ranking in 2005 
Vitas Gerulaitis,1954,1994, United States,,3,Winner of 1 Grand Slam title → 1977(December) Australian Open champion • 1979 and 1981 Masters Grand Prix finalist • ranking in 1978 
Sam Giammalva,1934,–, United States,,,1955 U.S. Championships quarterfinalist 
"Sammy Giammalva, Jr.",1963,–, United States,,,1982 Australian Open quarterfinalist 
Bob Giltinan,1949,–, Australia,,16,Ranking in 1974 ◌ 1977(December) Australian Open semifinalist 
Robby Ginepri,1982,–, United States,,15,Ranking in 2005 ◌ 2005 U.S. Open semifinalist 
Andrés Gimeno,1938,2019, Spain,2009,10,Winner of one Grand Slam titles → 1972 French champion • ranking amateur in 1969 
"Juan Gisbert, Sr.",1942,–,/ Spain,,,"1968 Australian Championships finalist - 1975 Masters Grand Prix champion, 
partnering Manuel Orantes"
Drew Gitlin,1958,–, United States,,,1982 Australian Open quarterfinalist 
Brad Gilbert,1961,–, United States,,4,"Ranking in 1990 ◌ 1987 U.S. Open quarterfinalist • 1990 Wimbledon 
quarterfinalist • 1988 Olympics bronze medalist "
Hans Gildemeister,1956,–, Chile,,12,Ranking in 1980 ◌ 1978/1979/1980 French Open quarterfinalist 
Shlomo Glickstein,1958,–, Israel,,22,Ranking in 1982 ◌ 1981 Australian Open quarterfinalist 
William Glyn,1860,1939, United States,,,1881 U.S. Championships finalist 
André Gobert,1890,1951, France,,,1912 Wimbledon finalist • 1912 Olympic gold medalist 
David Goffin,1990,–, Belgium,,7,"2016 French Open quarterfinalist • 2017 Australian Open quarterfinalist • 
2019 Wimbledon quarterfinalist • 2017 Tour Finals finalist • ranking in 
2017 "
Dan Goldie,1963,–, United States,,,1989 Wimbledon quarterfinalist 
Jérôme Golmard,1973,2017, France,,22,Ranking in 1999 
Andrés Gómez,1960,–, Ecuador,,4,"Winner of 1 Grand Slam title → 1990 French Open champion, 1984, 1986 and 1987 quarterfinalist • 1984 Wimbledon quarterfinalist • 
1984 U.S. Open quarterfinalist • ranking in 1990 "
Pancho Gonzales,1928,1995, United States,1968,,"Winner of 2 Grand Slam titles → 1948 and 1949 United States champion • 1968 French Open semifinalist • 1968 U.S. Open quarterfinalist • rated world no. 1 for 8 years, 1952, 1954, 1955, 1956, 1957, 1958, 1959 and (as co-no.1) 1960 "
Fernando González,1980,–, Chile,,5,"2007 Australian Open finalist • 2008 Olympic silver medalist, 2004 bronze 
medalist • ranking in 2007 "
Vere St. Leger Goold,1853,1909, Ireland,,,1879 Wimbledon finalist 
