,,,,,,
Arthur Gore,1868,1928, Great Britain,2006,,"Winner of 3 Grand Slam titles → 1900, 1901 and 1909 Wimbledon champion • 1908 Olympic gold medallist "
Spencer Gore,1850,1906, Great Britain,,,"Winner of 1 Grand Slam title → 1877 Wimbledon champion, 1878 finalist "
Tom Gorman,1946,–, United States,,8,"1971 Wimbledon semifinalist • 1972 U.S. Open semifinalist • 1973 French 
Open semifinalist • ranking in 1973 "
Brian Gottfried,1952,–, United States,,3,1977 French Open finalist • ranking in 1977 
Georges Goven,1948,–, France,,,1970 French Open semifinalist 
Clark Graebner,1943,–, United States,,7,1967 United States finalist • ranking in 1968 
Bryan Grant,1910,1986, United States,1972,6,1935 U.S. Open semifinalist • ranking in 1937 
Colin Gregory,1903,1959, Great Britain,,,Winner of 1 Grand Slam title → 1929 Australian champion
Seymour Greenberg,1920,2006, United States,,,"1942, 1943, 1944, and 1945 U.S. National Championships quarterfinalist "
Charles Walder Grinstead,1860,1930, Great Britain,,,Finalist in 1884 Wimbledon Championships – Gentlemen's Singles
Sébastien Grosjean,1978,–, France,,4,"2001 Australian Open semifinalist • 2001 French Open semifinalist • 2003 
and 2004 Wimbledon semifinalist • 2001 Tennis Masters Cup finalist • winner 
of 1 ATP Masters Series event • ranking in 2002 "
Ernests Gulbis,1988,–, Latvia,,10,2014 French Open semifinalist• ranking in 2014 
Tim Gullikson,1951,1996, United States,,15,1979 Wimbledon quarterfinalist • ranking in 1979 
Tom Gullikson,1951,–, United States,,,1982 U.S. Open quarterfinalist 
István Gulyás,1931,2000, Hungary,,,"1966 French finalist, 1971 quarterfinalist "
Jan Gunnarsson,1962,–, Sweden,,25,1989 Australian Open semifinalist • ranking in 1985 
Heinz Günthardt,1959,–, Switzerland,,22,"1985 Wimbledon quarterfinalist • 1985 U.S. Open quarterfinalist • ranking 
in 1986 "
Magnus Gustafsson,1967,–, Sweden,,10,1994 Australian Open quarterfinalist • ranking in 1991 
Paul Haarhuis,1966,–, Netherlands,,18,1991 U.S. Open quarterfinalist • ranking in 1995 
Tommy Haas,1978,–, Germany,,2,"2000 Olympic silver medalist • 1999/2002/2007 Australian Open semifinalist 
• 2009 Wimbledon semifinalist • ranking in 2002 "
Harold Hackett,1878,1937, United States,1961,,1906 United quarterfinalist 
Frank Hadow,1855,1946, Great Britain,,,"Winner of 1 Grand Slam title → 1878 Wimbledon champion, 1879 runner-up "
Edward L. Hall,1872,1932, United States,,,1892 U.S. Championships semifinalist 
Valentine Hall,1867,1934, United States,,,1891 U.S. Championships semifinalist 
Willoughby Hamilton,1864,1943, Ireland,,,"Winner of 1 Grand Slam title → 1890 Wimbledon champion, 1889 semifinalist "
Victor Hănescu,1981,–, Romania,,,2005 French Open quarterfinalist 
Charles Hare,1915,1996, Great Britain,,,"1937 French Championships quarterfinalist, 1937 U.S. Championships 
quarterfinalist "
Rodney Harmon,1961,–, United States,,,1982 U.S. Open quarterfinalist 
John Hartley,1849,1935, Great Britain,,,"Winner of 2 Grand Slam titles → 1879 and 1880 Wimbledon champion, 1881 runner-up "
John Hawkes,1899,1990, Australia,,,Winner of 1 Grand Slam title → 1926 Australasian champion • 1928 French Championships semifinalist 
Charles Heathcote,1841,1915, Great Britain,,,1877 Wimbledon All-Comers semifinalist 
Henner Henkel,1915,1943,/ Germany,,,"Winner of 1 Grand Slam title → 1937 French champion • 1938, 1939 Wimbledon semifinalist "
Tim Henman,1974,–, Great Britain,,4,"1998, 1999, 2001 and 2002 Wimbledon semifinalist • 2004 French Open 
semifinalist • 2004 U.S. Open semifinalist • ranking in 2002 "
John Hennessey,1900,1981, United States,,8,Ranking in 1927 and 1928 
Bob Hewitt,1940,–, Australia/ South Africa,,6,"1960, 1962 and 1963 Australian semifinalist • ranking amateur, 1967 "
Lleyton Hewitt,1981,–, Australia,,1,Winner of 2 Grand Slam titles → 2001 U.S. Open champion • 2002 Wimbledon champion • 2001/2002 Tour Finals champion • ranking no. 1 for 80 weeks
José Higueras,1953,–, Spain,,6,"1982 and 1983 French Open semifinalist, 1977 and 1979 quarterfinalist - 
ranking in 1983 "
Jakob Hlasek,1964,–, Switzerland,,22,1991 French Open quarterfinalist • ranking in 1985 
Lew Hoad,1934,1994, Australia,1980,1,"Winner of 4 Grand Slam titles → 1956 and 1957 Wimbledon champion • 1956 French champion • 1956 Australian champion • ranking world no. 1 amateur for 2 years, 1953, 1956. ranking world no. 1 pro 1959 Ampol points"
Clarence Hobart,1870,1930, United States,,,"1891, 1905 U.S. Championships finalist • 1898 Wimbledon semifinalist "
Henrik Holm,1968,–, Sweden,,17,Ranking in 1993 
Ronald Holmberg,1938,–, United States,,7,"1959 U.S. Championships semifinalist • 1961 French Championships 
quarterfinalist • ranking in 1960 "
Greg Holmes,1963,–, United States,,22,Ranking in 1985 
Chip Hooper,1958,–, United States,,17,Ranking in 1982 
Harry Hopman,1906,1985, Australia,1978,,"1930, 1931 and 1932 Australian Championships finalist "
Fred Hovey,1868,1945, United States,1974,,"1895 United States champion, 1896 finalist "
Dominik Hrbatý,1978,–, Slovakia,,12,1999 French Open semifinalist • ranking in 2004 
Jiří Hřebec,1950,–, Czechoslovakia,,25,Ranking in 1974 
Pat Hughes,1902,1997, Great Britain,,,1931 French Championships semifinalist 
Joe Hunt,1919,1945, United States,1966,,Winner of 1 Grand Slam title → 1943 U.S. champion
Frank Hunter,1894,1981, United States,1961,,1923 Wimbledon finalist • 1928 and 1929 United States finalist 
John Isner,1985,–, United States,,8,"2018 Wimbledon semifinalist • 2011/2018 U.S. Open quarterfinalist • ranking 
in 2018 "
Goran Ivanišević,1971,–, Yugoslavia /  Croatia,,2,Winner of 1 Grand Slam title → 2001 Wimbledon champion • 1996 U.S. Open semifinalist • ranking in 1994 
Sydney Jacob,1879,1977, India,,,"1925 French Championships semifinalist, 1925 Wimbledon quarterfinalist "
Martín Jaite,1964,–, Argentina,,10,1985 French Open quarterfinalist • ranking in 1990 
François Jauffret,1942,–, France,,20,"1974 French Open semifinalist; 1966 French Championships semifinalist • 
ranking in 1974 "
Anders Järryd,1961,–, Sweden,,5,1985 Wimbledon semifinalist • ranking in 1985 
Joachim Johansson,1982,–, Sweden,,9,2004 U.S. Open semifinalist • ranking in 2005 
Thomas Johansson,1975,–, Sweden,,7,"Winner of 1 Grand Slam title → 2002 Australian Open champion • 2005 Wimbledon semifinalist • 1998/2000 US Open quarterfinalist • 
ranking in 2002 "
Steve Johnson,1989,–, United States,,21,Ranking in 2016 • 2016 Olympics quarterfinalist 
Bill Johnston,1894,1946, United States,1958,1,Winner of 3 Grand Slam titles → 1915 and 1919 United States champion • 1923 Wimbledon champion (results incomplete as tournament drawsheets unavailable) • co-ranking world no. 1 for 1919
Boro Jovanović,1939,–, Yugoslavia,,,1968 French Open quarterfinalist 
Yevgeny Kafelnikov,1974,–, Russia,2019,1,"Winner of 2 Grand Slam titles and 1 Olympic gold medal → 1996 French Open champion • 1999 Australian Open champion • 2000 Olympic gold medalist • ranking no. 1 for 6 weeks, in 1999 "
Aslan Karatsev,1993,-, Russia,,,2021 Australian Open semifinalist 
Bernd Karbacher,1968,–, Germany,,22,"1996 French Open quarterfinalist • 1996 US Open quarterfinalist • ranking 
in 1995 "
Ivo Karlović,1979,–, Croatia,,14,2009 Wimbledon quarterfinalist • ranking in 2008 
Béla von Kehrling,1891,1937, Hungary,,,"1926, 1929 French Championships quarterfinalist • 1929 Wimbledon 
quarterfinalist "
Karen Khachanov,1996,–, Russia,,8,Ranking in 2019 • 2019 French Open quarterfinalist 
Nicolas Kiefer,1977,–, Germany,,4,"2006 Australian Open semifinalist, 1998/2000 quarterfinalist • 1997 
Wimbledon quarterfinalist • 2000 U.S. Open quarterfinalist • 1999 Tour 
Finals semifinalist • ranking in 2000 "
Howard Kinsey,1899,1966, United States,,,1926 Wimbledon finalist 
Algernon Kingscote,1888,1964, Great Britain,,,Winner of 1 Grand Slam title → 1919 Australian champion • 1919 Wimbledon finalist 
Vernon Kirby,1911,1994, South Africa,,,1934 U.S. Championships semifinalist • 1934 Wimbledon quarterfinalist 
Martin Kližan,1989,–, Slovakia,,24,Ranking in 2015 
Percy Knapp,1863,1917, United States,,,"1885, 1890 U.S. Championships finalist "
Billy Knight,1935,–, Great Britain,,,1959 French quarterfinalist 
Thomaz Koch,1945,–, Brazil,,24,1969 French Open quarterfinalist • ranking in 1974 
Jan Kodeš,1946,–, Czechoslovakia,1990,,Winner of 3 Grand Slam titles → 1970 and 1971 French Open champion • 1973 Wimbledon champion
Philipp Kohlschreiber,1983,–, Germany,,16,2012 Wimbledon quarterfinalist • ranking in 2012 
Petr Korda,1968,–, Czechoslovakia /  Czech Republic,,2,Winner of 1 Grand Slam title → 1998 Australian Open champion • ranking in 1998 
Stefan Koubek,1977,–, Austria,,20,2002 Australian Open quarterfinalist • ranking in 2000 
Jan Koželuh,1904,1979, Czechoslovakia,,,1926 and 1927 Wimbledon quarterfinalist 
Karel Koželuh,1895,1950, Czechoslovakia,2006,,"Rated professionial world no. 1 for four years, 1926, 1927, 1928 and 1929 "
Richard Krajicek,1971,–, Netherlands,,4,Winner of 1 Grand Slam title → 1996 Wimbledon champion • ranking in 1999 
Jack Kramer,1921,2009, United States,1968,,"Winner of 3 Grand Slam titles → 1946 and 1947 United States champion • 1947 Wimbledon champion • rated world no. 1 for 5 years → 1947, 1948, 1949, 1950 and 1951 "
Oscar Kreuzer,1887,1968, Germany,,,1913 Wimbledon semifinalist • 1912 Olympic bronze medalist 
Aaron Krickstein,1967,–, United States,,6,"1989 U.S. Open semifinalist • 1995 Australian Open semifinalist • ranking 
in 1990 "
Johan Kriek,1958,–, South Africa/ USA,,7,Winner of 2 Grand Slam titles → 1981 and 1982 Australian Open champion • ranking in 1984 
Ramanathan Krishnan,1937,–, India,,,1960 and 1961 Wimbledon semifinalist 
Ramesh Krishnan,1961,–, India,,23,"1981 and 1987 U.S. Open quarterfinalist • 1986 Wimbledon quarterfinalist • 
ranking in 1985 "
Paul Kronk,1954,–, Australia,,,1978 Australian Open quarterfinalist 
Łukasz Kubot,1982,–, Poland,,,2013 Wimbledon quarterfinalist 
Gustavo Kuerten,1976,–, Brazil,2012,1,Winner of 3 Grand Slam titles → 1997/2000/2001 French Open champion • 2000 Tennis Masters Cup champion • ranking no. 1 for 43 weeksin 2000-2001 
Karol Kučera,1974,–, Slovakia,,6,1998 Australian Open semifinalist • ranking in 1998 
Nicklas Kulti,1971,–, Sweden,,,1992 French Open quarterfinalist 
Ichiya Kumagae,1890,1968, Japan,,,1918 U.S. Championships semifinalist • 1920 Olympics silver medalist 
Nick Kyrgios,1995,–, Australia,,13,"2015 Australian Open quarterfinalist • 2014 Wimbledon quarterfinalist • 
Ranking in 2016 "
René Lacoste,1904,1996, France,1976,1,"Winner of 7 Grand Slam titles → 1925, 1927 and 1929 French champion, 1926 and 1928 finalist • 1925 and 1928 Wimbledon champion, 1924 finalist, 1927 semifinalist • 1926 and 1927 United States champion • rated world no. 1 for 2 years"
Dušan Lajović,1990,–, Serbia,,23,Ranking in 2019 
Nicolás Lapentti,1976,–, Ecuador,,6,1999 Australian Open semifinalist • ranking in 1999 
William Larned,1872,1926, United States,1956,,"Winner of 7 Grand Slam titles → 1901, 1902, 1907, 1908, 1909, 1910 and 1911 United States champion, 1900 and 1903 finalist • rated world no. 1 for 5 years → 1901 and 1902 (co-rated), 1908, 1909 and 1910 "
Art Larsen,1925,2012, United States,1969,,"Winner of 1 Grand Slam title → 1950 United States champion, 1954 finalist "
Magnus Larsson,1970,–, Sweden,,10,1994 French Open semifinalist • ranking in 1995 
Rod Laver,1938,–, Australia,1981,,"Winner of 11 Grand Slam titles → 1960 and 1962 Australian champion; 1969 Australian Open champion • 1962 French champion; 1969 French Open champion, 1968 finalist • 1961, 1962, 1968 and 1969 Wimbledon champion • 1962 United States champion; 1969 U.S. Open champion • 1970 Masters Grand Prix finalist • rated world no. 1 for 7 years → 1964 (co-rated), 1965, 1966, 1967, 1968, 1969 and 1970 (co-rated) "
Herbert Lawford,1851,1925, Great Britain,2006,,"Winner of 1 Grand Slam title → 1887 Wimbledon champion, 1880, 1884, 1885, 1886 and 1888 finalist, 1878, 1881 and 1882 and 
All-Comers semifinalist "
Henri Leconte,1963,–, France,,5,1988 French Open finalist • ranking in 1986 
Harry Lee,1907,1998, Great Britain,,,1933 French Championships semifinalist 
Ivan Lendl,1960,–, Czechoslovakia/ United States,2001,1,"winner of 8 Grand Slam titles → 1984, 1986 and 1987 French Open champion • 1985, 1986 and 1987 U.S. Open champion • 1989 and 1990 Australian Open champion • 1981, 1982, 1985, 1986 and 1987 Masters Grand Prix champion • ranking no. 1 for 270 weeks → 17 weeks in 1983, 15 in 1984, 17 in 1985, 52 in 1986, 52 in 1987, 37 in 
1988, 48 in 1989 and 32 in 1990 "
Ernest Lewis,1867,1930, Great Britain,,,"1886, 1888, 1892, 1894 Wimbledon finalist "
Chris Lewis,1957,–, New Zealand,,19,1983 Wimbledon finalist • ranking in 1979 
Ivan Ljubičić,1979,–, Croatia,,3,2006 French Open semifinalist • ranking in 2006 
Michaël Llodra,1980,–, France,,21,Ranking in 2011 
John Lloyd,1954,–, Great Britain,,,1977 (December) Australian Open finalist 
Feliciano López,1981,–, Spain,,12,"2005/2008/2011 Wimbledon quarterfinalist • 2015 US Open quarterfinalist • 
ranking in 2015 "
George Lott,1906,1991, United States,1964,,1931 United States finalist 
Gordon Lowe,1884,1972, Great Britain,,,"Winner of 1 Grand Slam title → 1915 Australian champion • 1911, 1923 Wimbledon semifinalist "
Yen-hsun Lu,1983,–, Chinese Taipei,,,2010 Wimbledon quarterfinalist 
Peter Lundgren,1965,–, Sweden,,25,Ranking in 1987 
Jan-Erik Lundqvist,1937,–, Sweden,,3,"1961, 1964 French Championships semifinalist • ranking in 1964 "
Bob Lutz,1949,–, United States,,7,1970 Australian Open semifinalist • ranking in 1972 
Randolph Lycett,1886,1935, Great Britain,,,"1922 Wimbledon finalist, 1905 Australian semifinalist "
George Lyttleton-Rogers,1906,1963, Great Britain,,,"1930, 1932 French Championships quarterfinalist "
Barry MacKay,1935,2012, United States,,,1959 Wimbledon semifinalist • 1959 Australian semifinalist 
Harold Mahoney,1867,1905, Great Britain,,,Winner of 1 Grand Slam title → 1896 Wimbledon champion • 1900 Olympics silver medalist 
Gene Mako,1916,2013, United States,1973,9,1938 United States finalist • raanking in 1938 
Xavier Malisse,1980,–, Belgium,,19,2002 Wimbledon semifinalist • ranking in 2002 
Boris Maneff,1916,1960, Switzerland,,,1936 French Championships quarterfinalist 
Amos Mansdorf,1965,–, Israel,,18,1992 Australian Open quarterfinalist • ranking in 1987 
Alberto Mancini,1969,–, Argentina,,8,1989 French Open quarterfinalist • ranking in 1989 
Gregory Mangin,1907,1978, United States,,,"1928, 1930, 1933, 1935, 1926 U.S. Championships quarterfinalist • 1930 
Wimbledon quarterfinalist • 1933 French Championships quarterfinalist "
Adrian Mannarino,1988,–, France,,22,Ranking in 2018 
Bruce Manson,1956,–, United States,,,1981 U.S. Open quarterfinalist 
Félix Mantilla,1974,–, Spain,,10,1998 French Open semifinalist • ranking in 1998 
John Marks,1952,–, Australia,,,1978 Australian Open finalist 
William Marshall,1849,1921, Great Britain,,,1877 Wimbledon runner-up 
Billy Martin,1956,–, United States,,,1977 Wimbledon quarterfinalist 
Todd Martin,1970,–, United States,,4,1994 Australian Open finalist • 1999 U.S. Open finalist • ranking in 1999 
Nicolás Massú,1979,–, Chile,,9,Winner of 2 Olympic gold medals ◌ 2004 Olympic gold medalist • ranking in 2004 
Geoff Masters,1950,–, Australia,,,1974 Australian Open quarterfinalist 
Wally Masur,1963,–, Australia,,15,"1987 Australian Open semifinalist • 1993 U.S. Open semifinalist • ranking 
in 1993 "
Paul-Henri Mathieu,1982,–, France,,12,Ranking in 2008 
Shuzo Matsuoka,1967,–, Japan,,,1995 Wimbledon quarterfinalist 
Andreas Maurer,1958,–, West Germany,,24,Ranking in 1986 
Theodore Mavrogordato,1883,1941, Great Britain,,,1909/1914/1920 Wimbledon semifinalist 
Florian Mayer,1983,–, Germany,,18,2004/2012 Wimbledon quarterfinalist • ranking in 2011 
Gene Mayer,1956,–, United States,,4,"1980 and 1982 Wimbledon quarterfinalist • 1982 and 1984 U.S. Open 
quarterfinalist • ranking in 1980 "
Leonardo Mayer,1987,–, Argentina,,21,Ranking in 2015 
Sandy Mayer,1952,–, United States,,7,1973 Wimbledon semifinalist • ranking in 1982 
Tim Mayotte,1960,–, United States,,7,"1983 Australian Open semifinalist • 1982 Wimbledon semifinalist • ranking 
in 1988 "
John McEnroe,1959,–, United States,1999,,"Winner of 7 Grand Slam titles → 1979, 1980, 1981 and 1984 U.S. Open champion • 1981, 1983 and 1984 Wimbledon champion • 1978, 1983 and 1984 Masters Grand Prix champion • ranking no. 1 for 170 weeks → 4 weeks in 1980, 23 in 1981, 45 in 1982, 26 in 1983, 37 in 1984, 35 in 
1985 • ranking no. 1 for 267 weeks → 37 weeks in 1979, 52 in 1980, 41 in 
1981, 48 in 1982, 52 in 1983, 37 in 1984 "
Patrick McEnroe,1966,–, USA,,,1991 Australian Open semifinalist 
Vivian McGrath,1916,1978, Australia,,,Winner of 1 Grand Slam title → 1927 Australian champion
Ken McGregor,1929,2007, Australia,1999,3,Winner of 1 Grand Slam title → 1952 Australian champion • ranking in 1952 
Chuck McKinley,1941,1986, United States,1986,2,Winner of 1 Grand Slam title → 1963 Wimbledon champion • ranking in 1963 
Maurice McLoughlin,1890,1957, United States,1957,1,"Winner of 2 Grand Slam titles → 1912 and 1913 United States champion, 1911, 1914 and 1915 finalist • 1913 Wimbledon finalist (results likely 
incomplete as most drawsheets are unavailable) • rated world no. 1 for 1 year, 1914 "
Peter McNamara,1955,2019, Australia,,7,1980 Australian Open semifinalist • ranking in 1983 
Paul McNamee,1954,–, Australia,,24,Ranking in 1986 
Don McNeill,1918,1996, United States,1965,,"Winner of 2 Grand Slam titles → 1939 French champion, 1940 United States champion"
Frew McMillan,1942,–, South Africa,1992,,Quarterfinalist 1972 US Open 
Miloslav Mečíř,1964,–, Czechoslovakia,,4,1988 Olympic gold medalist • 1986 US Open finalist • 1989 Australian Open finalist • ranking in 1988 
Andrei Medvedev,1974,–, Soviet Union /  Ukraine,,4,1999 French Open finalist • ranking in 1994 
Daniil Medvedev,1996,–, Russia,,2,"2020 Tour finals champion • 2019 US Open Finalist • 2021 Australian Open 
Finalist • 2020 US Open semifinalist • Ranking in 2021 "
Ernest George Meers,1848,1928, Great Britain,,,1889 U.S. Championships semifinalist • 1895 Wimbledon semifinalist 
Karl Meiler,1949,–, West Germany,,20,Ranking in 1973 
Fernando Meligeni,1971,–, Brazil,,25,1999 French Open semifinalist • ranking in 1999 
Jürgen Melzer,1981,–, Austria,,8,2010 French Open semifinalist • ranking in 2011 
Roderich Menzel,1907,1987, Czechoslovakia,,,1938 French Championships finalist 
Giuseppe Merlo,1927,2019, Italy,,,"1955, 1956 French Championships semifinalist "
Alex Metreveli,1944,–, Soviet Union,,,1972 French Open semifinalist • 1972 Australian Open semifinalist 
Max Mirnyi,1977,–, Belarus,,18,2002 US Open quarterfinalist • ranking in 2003 
Dragutin Mitić,1917,1986, Yugoslavia,,,"1938, 1946, 1949 French Championships quarterfinalist "
Juan Mónaco,1984,–, Argentina,,10,Ranking in 2012 
Gaël Monfils,1986,–, France,,6,2008 French Open semifinalist • 2016 US Open semifinalist • ranking in 2016 
Albert Montañés,1980,–, Spain,,22,Ranking in 2010 
Edgar Moon,1904,1976, Australia,,,1930 Australian champion
Raymond Moore,1946,–, South Africa,,,1977 US Open quarterfinalist 
Enrique Morea,1920,2006, Argentina,,,"1953, 1954 French Championships semifinalist "
Umberto De Morpurgo,1896,1961, Italy,,,1930 French Championships semifinalist 
Buster Mottram,1955,–, Great Britain,,15,Ranking in 1983 
Carlos Moyá,1976,–, Spain,,1,"Winner of 1 Grand Slam title → 1998 French Open champion • 1998 Tour Finals finalist, 1997/2002 semifinalist • ranking world no. 1 for 2 weeks in 1999 "
Marty Mulligan,1940,–, Australia,,,1962 Wimbledon finalist 
Gardnar Mulloy,1913,2016, United States,1972,7,1952 U.S. finalist • ranking in 1952 
Gilles Müller,1983,–, Luxembourg,,,2008 U.S. Open quarterfinalist 
Andy Murray,1987,–, Great Britain,,1,Winner of 3 Grand Slam titles → 2012 US Open champion •2013 and 2016 Wimbledon Champion • 2016 Tour Finals champion • winner of 2 Olympic gold medals → 2012 and 2016 Olympic gold medalist • ranking world no. 1 for 41 weeks (2016–17)
Robert Murray,1892,1970, United States,1958,,1917/1918 U.S. champion
Thomas Muster,1967,–, Austria,,1,Winner of 1 Grand Slam title → 1995 French Open champion • ranking world no. 1 for 6 weeks 
Rafael Nadal,1986,–, Spain,,1,"Winner of 20 Grand Slam titles including a career Grand Slam achieved in 2010 and 2 Olympic gold medals → 
2005/2006/2007/2008/2010/2011/2012/2013/2014/2017/2018/2019 French Open champion (12) • 2008/2010 Wimbledon champion (2) • 2010/2013/2017/2019 US Open champion (4) • 2009 Australian Open champion • 2010/2013 Tour Finals finalist, 2006/2007/2015 semifinalist • 2008 Olympic single gold medalist • world no. 1 for 209 weeks (2008-2020)"
David Nalbandian,1982,–, Argentina,,3,"2002 Wimbledon finalist • 2005 Tour Finals champion, 2006 semifinalist • ranking in 2006 "
Ilie Năstase,1946,–, Romania,1991,1,"Winner of 2 Grand Slam titles → 1972 US Open champion • 1973 French Open champion • 1971/1972/1973/1975 Masters champion, 1974 finalist • ranking world no. 1 for 40 weeks and for 1973 "
Carr Neel,1873,1949, United States,,,"1895, 1896 U.S. Championships semifinalist "
John Newcombe,1944,–, Australia,1986,1,Winner of 7 Grand Slam titles → 1967/1970/1971 Wimbledon champion • 1967/1973 US Open champion • 1973/1975 Australian Open champion • ranking world no. 1
Kurt Nielsen,1930,2011, Denmark,,,1953/1955 Wimbledon finalist 
Jarkko Nieminen,1981,–, Finland,,13,"2005 U.S. Open quarterfinalist • 2006 Wimbledon quarterfinalist • 2008 
Australian Open quarterfinalist • ranking in 2006 "
Nathaniel Niles,1886,1932, United States,,,1917 U.S. Championships finalist 
Harold Nisbet,1873,1937, Great Britain,,,1897 U.S. Championships finalist 
Kei Nishikori,1989,–, Japan,,4,"2014 US Open finalist • 2012/2015/2016/2019 Australian Open quarterfinalist 
• 2015/2017/2019 French Open quartefinalist • 2018/2019 Wimbledon 
quarterfinalist • 2014,2016 Tour finals semifinalist • 2016 Olympic bronze 
medalist • ranking in 2015 "
Yannick Noah,1960,–, France,2005,3,Winner of 1 Grand Slam title → 1983 French Open champion • ranking in 1986 
Magnus Norman,1976,–, Sweden,,2,2000 French Open finalist • Ranking in 2000 
Brian Norton,1899,1956, South Africa,,,1921 Wimbledon finalist 
Karel Nováček,1965,–, Czechoslovakia /  Czech Republic,,,1994 US Open semifinalist • 1987/1993 French Open quarterfinalist 
Jiří Novák,1975,–, Czech Republic,,5,2002 Australian Open semifinalist • ranking in 2002 
Hans Nüsslein,1910,1991, /  Germany,2006,,
Joakim Nyström,1963,–, Sweden,,7,Ranking in 1986 
Tom Okker,1944,–, Netherlands,,,"1968 US Open finalist, 1971 semifinalist • 1969 French Open semifinalist, 
1973 quarterfinalist • 1971 Australian Open semifinalist, 1970 
quarterfinalist • 1978 Wimbledon semifinalist, 1968/1969/1975/1979 
quarterfinalist "
Alex Olmedo,1936,–, Peru /  United States,1987,,Winner of 2 Grand Slam titles → 1959 Australian champion • 1959 Wimbledon champion • 1959 U.S. finalist 
Manuel Orantes,1949,–,/ Spain,2012,,"Winner of 1 Grand Slam title → 1975 US Open champion, 1976/1977 quarterfinalist • 1974 French Open finalist, 1972 semifinalist, 
1976/1978 quarterfinalist • 1972 Wimbledon semifinalist • 1968 Australian 
Open quarterfinalist • 1976 Masters champion"
Jim Osborne,1945,–, United States,,,1971 U.S. Open quarterfinalist 
Rafael Osuna,1938,1969, Mexico,1979,1,Winner of 1 Grand Slam title → 1963 U.S. Open champion • ranking no. 1 in 1963 
Dinny Pails,1921,1986, Australia,,,"Winner of 1 Grand Slam title → 1946 Australian champion, 1947 finalist • 1947 Wimbledon semifinalist, 1946 quarterfinalist "
Benoît Paire,1989,–, France,,18,Ranking in 2016 
Josip Palada,1912,1994, Yugoslavia,,,1938 French Championships semifinalist 
Antonio Palafox,1936,–, Mexico,,,1965 U.S. Championships quarterfinalist 
Adriano Panatta,1950,–, Italy,,4,Winner of 1 Grand Slam title → 1976 French Open champion • 1976 Davis Cup champion • ranking in 1976 
Jahial Parmly Paret,1870,1952, United States,,,1899 U.S. Championships finalist 
James Cecil Parke,1881,1946, Great Britain,,,Winner of 1 Grand Slam title → 1912 Australian champion
Frank Parker,1916,1997, United States,1966,,"Winner of 4 Grand Slam titles → 1944, 1945 U.S. champion, 1948, 1949 French champion • 1937 Wimbledon semifinalist "
C. F. Parr,?,?,?,,,1879 Wimbledon All-Comers semifinalist 
