,,,,,,
Onny Parun,1947,–, New Zealand,,,1973 Australian Open finalist 
Charlie Pasarell,1944,–, United States,2013[b],,1965 U.S. quarterfinalist • 1976 Wimbledon quarterfinalist 
David Pate,1962,–, United States,,18,Ranking in 1987 
Gerald Patterson,1895,1967, Australia,1989,,"Rated co-world no. 1 in 1919 with ""Little Bill"" Johnston"
Andrew Pattison,1949,–, Rhodesia,,24,Ranking in 1974 
Budge Patty,1924,–, United States,1977,1,Winner of 2 Grand Slam titles → 1950 French champion • 1950 Wimbledon champion • ranking in 1950 
Andrei Pavel,1974,–, Romania,,13,2002 French Open quarterfinalist • ranking in 2004 
Victor Pecci,1955,–, Paraguay,,9,Ranking in 1980 
Theodore Pell,1879,1967, United States,1966,,1915 United States semifinalist 
Guido Pella,1990,–, Argentina,,20,Ranking in 2019 • 2019 Wimbledon quarterfinalist 
Pierre Pellizza,1917,1974, France,,,1946 Wimbledon quarterfinalist 
Guillermo Pérez Roldán,1969,–, Argentina,,13,Ranking in 1988 
Mikael Pernfors,1963,–, Sweden,,10,"1986 French Open finalist • 1990 Australian Open quarterfinalist • ranking 
in 1986 "
Fred Perry,1909,1995, Great Britain,1975,1,"Winner of 8 Grand Slam titles, including a Career Slam → 1933/1934/1936 U.S. champion • 1934/1935/1936 Wimbledon champion • 1934 Australian champion • 1935 French champion • rated world no. 1 for 5 years "
Yvon Petra,1916,1984, France,2016,,Winner of 1 Grand Slam title → 1946 Wimbledon champion
Hank Pfister,1953,–, United States,,19,1978/1981/1982 Australian Open semifinalist • ranking in 1983 
Mark Philippoussis,1976,–, Australia,,8,1998 US Open finalist • 2003 Wimbledon finalist • ranking in 1999 
Barry Phillips-Moore,1937,–, Australia,,,1968 Australian Championships semifinalist 
Nicola Pietrangeli,1933,–, Italy,1986,3,"Winner of 2 Grand Slam titles → 1959 and 1960 French Open champion • 
ranking in 1959 "
Nikola Pilić,1939,–, Yugoslavia,,,1973 French Open finalist 
Joshua Pim,1869,1942, Ireland,,,"Winner of 2 Grand Slam titles → 1893, 1894 Wimbledon champion"
Libor Pimek,1963,–, Czechoslovakia,,21,Ranking in 1985 
Ulrich Pinner,1954,–, West Germany,,23,Ranking in 1979 
Cédric Pioline,1969,–, France,,,"1993 US Open finalist • 1997 Wimbledon finalist • 1998 French Open 
semifinalist "
Hans-Jürgen Pohmann,1947,–, West Germany,,,1974 French Open quarterfinalist 
Alexander Popp,1976,–, Germany,,,2000/2003 Wimbledon quarterfinalist 
Vasek Pospisil,1990,-, Canada,,25,2015 Wimbledon quarterfinalist • ranking in 2014 
Lucas Pouille,1994,-, France,,10,"2016 Wimbledon quarterfinalist • 2016 US Open quarterfinalist • ranking in 
2018 "
Goran Prpić,1964,–, Croatia,,16,"1991 Australian Open quarterfinalist • 1993 French Open quarterfinalist • 
ranking in 1991 "
Patrick Proisy,1949,–, France,,23,Ranking in 1973 • 1973 French Open finalist 
Mariano Puerta,1978,–, Argentina,,9,2005 French Open finalist • ranking in 2005 
Franjo Punčec,1913,1985, Yugoslavia,,,"1938 French Championships semifinalist • 1938, 1939 Wimbledon semifinalist "
Mel Purcell,1959,–, United States,,21,Ranking in 1980 
Sam Querrey,1987,–, United States,,11,"2017 Wimbledon semifinalist • 2016 Wimbledon quarterfinalist • 2017 US Open 
quarterfinalist • Ranking in 2018 "
Adrian Quist,1913,1991, Australia,1984,,Winner of 3 Grand Slam titles → 1936/1940/1948 Australian champion
Patrick Rafter,1972,–, Australia,2006,1,"Winner of 2 Grand Slam titles → 1997/1998 U.S. Open champion • 2000/2001 Wimbledon finalist, 1999 semifinalist • 1997 French Open 
semifinalist • 2001 Australian Open semifinalist • ranking world no. 1 for 1 week "
Dennis Ralston,1942,–, United States,1987,5,1966 Wimbledon finalist • ranking in 1966 
Raúl Ramírez,1953,–, Mexico,,4,Ranking in 1976 
Albert Ramos Viñolas,1988,–, Spain,,17,Ranking in 2017 – 2016 French Open quarterfinalist 
Milos Raonic,1990,–, Canada,,3,Ranking in 2016 - 2016 Wimbledon finalist • 2016 Tour Finals semifinalist 
Louis Raymond,1895,1962, South Africa,,,1924 Wimbledon semifinalist • 1920 Olympic gold medalist
Richey Reneberg,1965,–, United States,,20,Ranking in 1991 
Peter Rennert,1958,–, United States,,,1980 Australian Open quarterfinalist 
Ernest Renshaw,1861,1899, Great Britain,1983,,Winner of 1 Grand Slam title → 1888 Wimbledon champion
William Renshaw,1861,1904, Great Britain,1983,,Winner of 7 Grand Slam titles → 1881/1882/1883/1884/1885/1886/1889 Wimbledon champion
George E. Richards,c.1921,, United States,,,1942 U.S. National Championships quarterfinalist 
Vinnie Richards,1903,1959, United States,1961,,1924 Olympic gold medalist
Cliff Richey,1946,–, United States,,16,1970/1972 US Open semifinalist • ranking in 1973 
Bobby Riggs,1918,1995, United States,1967,,"Winner of 3 Grand Slam titles → 1939 Wimbledon champion, 1939, 1941 U.S. champion • ranked world no. 1 for 3 years "
Marty Riessen,1941,–, United States,,11,"1971 Australian Open quarterfinalist • 1971 US Open quarterfinalist - 
ranking in 1974 "
Marcelo Ríos,1975,–, Chile,,1,1998 Australian Open finalist • ranking world no. 1 for 6 weeks in 1998 
Frank Riseley,1877,1959, Great Britain,,,"1903(Ch), 1904(Ch), and 1906(Ch) Wimbledon finalist "
Major Ritchie,1870,1955, Great Britain,,,"1902, 1903, 1904, and 1909(Ch) Wimbledon finalist • 1908 Olympic outdoor 
gold medalist "
Tommy Robredo,1982,–, Spain,,5,"2007 Australian Open quarterfinalist •2003/2005/2007/2009/2013 French Open 
quarterfinalist • 2013 US Open quarterfinalist • ranking in 2006 "
Tony Roche,1945,–, Australia,1986,2,1966 French champion • ranking in 1969 
Olivier Rochus,1981,–, Belgium,,24,Ranking in 2005 
Andy Roddick,1982,–, United States,2017,1,Winner of 1 Grand Slam title → 2003 US Open champion • 2003/2004/2007 Masters semifinalist • ranking world no. 1 for 13 weeks in 2003-2004 
Christophe Roger-Vasselin,1957,–, France,,,1983 French Open semifinalist 
Mervyn Rose,1930,2017, Australia,2001,3,Winner of 2 Grand Slam titles → 1954 Australian champion • 1958 French champion • ranking in 1958 
Ken Rosewall,1934,–, Australia,1980,1,"Winner of 8 Grand Slam titles → 1953/1955/1971(O)/1972(O) Australian (Open) champion • 1953/1968(O) French (Open) champion • 1956/1970(O) US (Open) champion • ranking world no.1 in 1961, 1962 and 1963 "
Marc Rosset,1970,–, Switzerland,,9,1992 Olympic gold medalist • 1996 French Open semifinalist • ranking in 1995 
Derrick Rostagno,1965,–, United States,,13,1988 US Open quarterfinalist • ranking in 1991 
Andrey Rublev,1997,–, Russia,,7,"2017/2020 U.S. Open quarterfinalist • 2020 French Open quarterfinalist • 
2021 Australian Open quarterfinalist • Ranking in 2021 "
Ray Ruffels,1946,–, Australia,,,1969/1975 Australian Open semifinalist 
Greg Rusedski,1973,–, Great Britain,,4,1997 US Open finalist • ranking in 1997 
Alejo Russell,1916,1977, Argentina,,,1942 and 1945 U.S. National Championships quarterfinalist 
Casper Ruud,1998,–, Norway,,22,Ranking in 2021 
André Sá,1978,–, Brazil,,,2002 Wimbledon quarterfinalist 
John Sadri,1956,–, United States,,14,Ranking in 1980 
Marat Safin,1980,–, Russia,2016,1,Winner of 2 Grand Slam titles → 2000 US Open champion • 2005 Australian Open champion • 2000/2004 Masters semifinalist • ranking world no. 1 for 9 weeks 
Pete Sampras,1971,–, United States,2007,1,Winner of 14 Grand Slam titles → 1990/1993/1995/1996/2002 US Open champion • 1993/1994/1995/1997/1998/1999/2000 Wimbledon champion • 1994/1997 Australian Open champion • 1991/1994/1996/1997/1999 Masters champion (record; shared with Ivan Lendl) • ranking world no. 1 for 286 weeks 
Emilio Sánchez,1965,–, Spain,,7,"1988 French Open quarterfinalist • 1988 U.S. Open quarterfinalist • ranking 
in 1990 "
Javier Sánchez,1968,–, Spain,,23,1991/1996 U.S. Open quarterfinalist • ranking in 1994 
Tennys Sandgren,1991,–, United States,,,2018/2020 Australian Open quarterfinalist 
Manuel Santana,1938,–, Spain,1984,1,Winner of 4 Grand Slam titles → 1961/1964 French champion • 1965 U.S. champion • 1966 Wimbledon champion • ranking world no. 1 amateur in 1966 
Fabrice Santoro,1972,–, France,,17,2006 Australian Open quarterfinalist • ranking in 2001 
Jiro Sato,1908,1934, Japan,,3,"1931/1933 French championship semifinalist • 1932 Australian championship 
semifinalist • 1932/1933 Wimbledon semifinalist • ranking in 1933 "
Dick Savitt,1927,–, United States,1976,2,Winner of 2 Grand Slam titles → 1951 Wimbledon champion • 1951 Australian champion • ranking in 1951 
Bill Scanlon,1956,2021, United States,,9,Ranking in 1984 
Sjeng Schalken,1976,–, Netherlands,,11,2002 US Open semifinalist • ranking in 2003 
Michiel Schapers,1959,–, Netherlands,,25,1985/1988 Australian Open quarterfinalist • ranking in 1988 
Richard Schlesinger,1900,1968, Australia,,,"1924, 1929 Australian Championships finalist "
Ted Schroeder,1921,2006, United States,1966,,"Winner of 2 Grand Slam titles → 1942 U.S. champion, 1949 finalist • 1949 Wimbledon champion"
Rainer Schüttler,1976,–, Germany,,5,2003 Australian Open finalist • 2003 Masters semifinalist • ranking in 2003 
Diego Schwartzman,1992,–, Argentina,,8,"2020 French Open semifinalist • 2018 French Open quarterfinalist • 2017 US 
Open quarterfinalist • ranking in 2020 "
Richard Sears,1861,1943, United States,1955,,Winner of 7 Grand Slam titles → 1881–1887 U.S. champion
Frank Sedgman,1927,–, Australia,1979,1,Winner of 5 Grand Slam titles → 1949/1950 Australian champion • 1951/1952 U.S. champion • 1952 Wimbledon champion • considered world no. 1 amateur for 1952 
Abe Segal,1930,2016, South Africa,,,1964 Wimbledon quarterfinalist 
Pancho Segura,1921,2017, USA,1984,,1942/1943/1944/1945/1946/1947 U.S. semifinalist • considered world no. 1 professional for 1950 and 1952 
Vic Seixas,1923,–, United States,1971,,Winner of 2 Grand Slam titles → 1953 Wimbledon champion • 1954 U.S. champion
Andreas Seppi,1984,–, Italy,,18,Ranking in 2013 
Denis Shapovalov,1999,–, Canada,,10,Ranking in 2020 • 2020 US Open quarterfinalist 
Quincy Shaw,1869,1960, United States,,,1889 U.S Championships finalist 
Frank Shields,1909,1975, USA,1964,,1930 U.S. Championships finalist • 1931 Wimbledon finalist 
Zenzo Shimizu,1891,1977, Japan,,,1920 Wimbledon (challenge round) finalist 
Bill Sidwell,1920,, Australia,,10,1948–1950 Australian Championships semifinalist – ranking in 1949 
Jan Siemerink,1970,–, Netherlands,,14,1998 Wimbledon quarterfinalist • ranking in 1998 
Gilles Simon,1984,–, France,,6,"2009 Australian Open quarterfinalist •2015 Wimbledon quarterfinalist •2008 
Masters semifinalist •ranking in 2009 "
Jannik Sinner,2001,–, Italy,,18,2020 French Open quarterfinalist • Ranking in 2021 
Orlando Sirola,1928,1995, Italy,,,1960 French Championships semifinalist 
Dick Skeen,1906,1994, United States,,,Ranked no. 2 in professional tennis in 1941 
Horst Skoff,1968,2008, Austria,,18,Ranking in 1990 
Henry Slocum,1862,1949, United States,1955,,"Winner of 2 Grand Slam titles → 1888/1889 U.S. champion, 1887/1890 finalist "
Pavel Složil,1955,–, Czechoslovakia,,12,Ranking in 1984 
Tomáš Šmíd,1956,–, Czechoslovakia,,11,Ranking in 1984 
Stan Smith,1946,–, United States,1987,1,Winner of 2 Grand Slam titles → 1971 US Open champion • 1972 Wimbledon champion • 1970 Masters champion • ranking world no. 1 for 1972 (year-end) 
Sydney Howard Smith,1872,1947, Great Britain,,,"1899, 1900(Ch), 1905 Wimbledon finalist "
Jack Sock,1992,-, United States,,8,Ranking in 2017 
Robin Söderling,1984,–, Sweden,,4,"2009/2010 French Open finalist • 2009 Masters semifinalist • ranking in 
2010 "
Harold Solomon,1952,–, United States,,5,Ranking in 1980 
Vince Spadea,1974,–, United States,,18,1999 Australian Open quarterfinalist • ranking in 2005 
Pat Spence,1872,1947, South Africa,,,1927 French Championships semifinalist 
Franco Squillari,1975,–, Argentina,,11,2000 French Open semifinalist • ranking in 2000 
Milan Šrejber,1963,–, Czechoslovakia,,23,1986 U.S. Open quarterfinalist • ranking in 1986 
Paradorn Srichaphan,1979,–, Thailand,,9,Ranking in 2003 
Carl-Uwe Steeb,1967,–, West Germany/ Germany,,14,Ranking in 1990 
Giorgio de Stefani,1904,1992, Italy,,,1932 French Championships finalist 
Ulf Stenlund,1967,–, Sweden,,23,Ranking in 1987 
Radek Štěpánek,1978,–, Czech Republic,,8,2006 Wimbledon quarterfinalist • ranking in 2006 
Brett Steven,1969,–, New Zealand,,,1993 Australian Open quarterfinalist 
Michael Stich,1968,–, Germany,2018,2,Winner of 1 Grand Slam title → 1991 Wimbledon champion • 1993 Masters champion
Dick Stockton,1951,–, United States,,,1974 Wimbledon semifinalist 
Les Stoefen,1911,1970, United States,,,1934 U.S. Championships semifinalist 
Fred Stolle,1938,–, Australia,1985,2,Winner of 2 Grand Slam titles → 1965 French champion • 1966 U.S. champion
Jason Stoltenberg,1970,–, Australia,,19,1996 Wimbledon semifinalist • ranking in 1994 
Allan Stone,1945,–, Australia,,,1972 Australian Open semifinalist 
Eric Sturgess,1920,2004, South Africa,,6,"1947, 1951 French Championships finalist, 1948 U.S. Championships finalist 
• ranking in 1948 "
Henrik Sundström,1964,–, Sweden,,6,1984 French Open quarterfinalist • ranking in 1984 
Jonas Svensson,1966,–, Sweden,,10,1988 French Open semifinalist • ranking in 1991 
Ottó Szigeti,1911,1976, Hungary,,,1939 French Championships semifinalist 
Bill Talbert,1918,1999, United States,1967,,"1944, 1945 U.S. Championships finalist "
Roscoe Tanner,1951,–, United States,,4,Winner of 1 Grand Slam title → 1977[Jan] Australian Open champion • ranking in 1979 
Balázs Taróczy,1954,–, Hungary,,13,1976/1981 French Open quarterfinalist • ranking in 1982 
Howard Taylor,1865,1920, United States,,,"1884(Ch), 1886, 1887, 1888 U.S. Championships finalist "
Roger Taylor,1941,–, United Kingdom,,11,Ranking in 1973 
Brian Teacher,1954,–, United States,,7,Winner of 1 Grand Slam title → 1980 Australian Open champion • ranking in 1981 
Eliot Teltscher,1959,–, United States,,6,Ranking in 1982 
Ben Testerman,1962,–, United States,,22,Ranking in 1984 
Dominic Thiem,1993,–, Austria,,3,"2020 US Open Champion • 2020 Australian Open finalist • 2018/2019 French Open finalist • 
2015/2016 French Open semifinalist • 2018 US Open quarterfinalist • 
2019/2020 Tour Finals finalist • Ranking world no. 3 in 2020 "
Frances Tiafoe,1998,–, United States,,,2019 Australian Open quarterfinalist 
Bill Tilden,1893,1953, United States,1959,1,Winner of 10 Grand Slam titles → 1920/1921/1922/1923/1924/1925/1929 U.S. champion • 1920/1921/1930 Wimbledon champion • 7 times world no. 1
Mikael Tillström,1972,–, Sweden,,,1996 Australian Open quarterfinalist 
Henk Timmer,1904,1998, Netherlands,,,"1927, 1929 Wimbledon quarterfinalist "
Janko Tipsarević,1984,–, Serbia,,8,2011/2012 US Open quarterfinalist • ranking in 2012 
Ion Ţiriac,1939,–, Romania,2013[b],,1968 French Open quarterfinalist 
Ignacy Tłoczyński,1911,2000, Poland,,,1939 French Championships quarterfinalist 
Bernard Tomic,1992,–, Australia,,17,2011 Wimbledon quarterfinalist • Ranking in 2016 
Tony Trabert,1930,2021, United States,1970,1,Winner of 5 Grand Slam titles → 1953/1955 U.S. champion • 1954/1955 French champion • 1955 Wimbledon champion • ranking world number 1 amateur in 1953 and 1955 
Viktor Troicki,1986,–, Serbia,,12,Ranking in 2011 
Stefanos Tsitsipas,1998,–, Greece,,5,"Ranking in 2019 • 2021 French Open finalist, 2020 semifinalist • 2019/2021 
Australian Open semifinalist • 2019 Tour Finals champion"
Jo-Wilfried Tsonga,1985,–, France,,5,2008 Australian Open finalist • 2011 Tour Finals finalist • ranking in 2012 
Thierry Tulasne,1963,–, France,,10,Ranking in 1986 
Dmitry Tursunov,1982,–, Russia,,20,Ranking in 2006 
Robert Van't Hof,1959,–, United States,,25,Ranking in 1983 
Fernando Verdasco,1983,–, Spain,,7,2009 Australian Open semifinalist • ranking in 2009 
Martin Verkerk,1978,–, Netherlands,,14,2003 French Open finalist • ranking in 2003 
Ian Vermaak,1933,–, South Africa,,10,1959 French Championships finalist • ranking in 1959 
Armando Vieira,1925,–, Brazil,,,1951 Wimbledon quarterfinalist 
Guillermo Vilas,1952,–, Argentina,1991,2,"Winner of 4 Grand Slam titles → 1977 French Open champion • 1977 US Open champion • 1978/1979 Australian Open champion • 1974 Masters champion, 1975/1976/1977/1982 semifinalist "
Ellsworth Vines,1911,1994, United States,1962,1,Winner of 3 Grand Slam titles → 1931/1932 U.S. Champion • 1932 Wimbledon Champion • rated world no 1 for 4 years (1932/1935/1936/1937) 
Adrian Voinea,1974,–, Romania,,,1995 French Open quarterfinalist 
Filippo Volandri,1981,–, Italy,,25,Ranking in 2007 
Alexander Volkov,1967,2019, Russia,,14,1993 US Open semifinalist • ranking in 1994 
Butch Walts,1955,–, United States,,,1978 U.S. Open quarterfinalist 
Holcombe Ward,1878,1961, United States,1956,,Winner of 1 Grand Slam title → 1904 U.S. champion
Leo Ware,1876,1914, United States,,,"1897, 1898, 1899, 1901 US semifinalist "
Kim Warwick,1952,–, Australia,,15,1980 Australian Open finalist • ranking in 1981 
Philippe Washer,1924,2015, Belgium,,,1957 French Championships quarterfinalist 
MaliVai Washington,1969,–, United States,,11,"1996 Wimbledon finalist • 1994 Australian Open quarterfinalist • ranking in 
1992 "
Stan Wawrinka,1985,–, Switzerland,,3,Winner of 3 Grand Slam singes titles → 2014 Australian Open champion • 2015 French Open champion • 2016 US Open champion • 2013/2014/2015 Tour Finals semifinalist • ranking in 2014 
David Wheaton,1969,–, United States,,12,1991 Wimbledon semifinalist • ranking in 1992 
Malcolm Whitman,1877,1932, United States,1955,,"Winner of 3 Grand Slam titles → 1898, 1899, 1900 US champion"
Mats Wilander,1964,–, Sweden,2002,1,Winner of 7 Grand Slam titles → 1982 (first appearance) /1985/1988 French Open champion • 1983/1984/1988 Australian Open champion • 1988 US Open champion • 1987 Masters finalist • ranking world no. 1 for 20 weeks 
Tony Wilding,1883,1915, New Zealand,1978,1,"Winner of 6 Grand Slam titles → 1906/1909 Australian champion, 1910/1911/1912/1913 Wimbledon champion• ranking in 1913 "
R. Norris Williams,1891,1968, United States,,5,"1914, 1916 US champion • ranking in 1913, 1914 "
Tim Wilkison,1959,–, United States,,23,1986 US Open quarterfinalist • ranking in 1986 
Bobby Wilson,1935,–, Great Britain,,,"1958, 1959, 1961 and 1963 Wimbledon quarterfinalist, 1960 and 1963 U.S. 
National quarterfinalist, and 1963 French Championships quarterfinalist "
Todd Witsken,1963,1998, United States,,,1988 Australian Open quarterfinalist 
Sidney Wood,1911,2009, United States,1964,,Winner of 1 Grand Slam title → 1931 Wimbledon champion • 1935 U.S. Championships finalist 
Todd Woodbridge,1971,–, Australia,2010,19,Ranking in 1997 
Mark Woodforde,1965,–, Australia,2010,19,Ranking in 1996 
Chris Woodruff,1973,–, United States,,,2000 Australian Open quarterfinalist 
Robert Wrenn,1873,1925, United States,1955,,"Winner of 4 Grand Slam titles → 1893, 1894, 1896 and 1897 US champion"
George Wrenn,1865,1948, United States,,,1900 U.S. Championships finalist 
Beals Wright,1879,1925, United States,1956,,Winner of 1 Grand Slam title → 1905 US champion • Winner of 1 Olympic Gold medal → 1904 
Mikhail Youzhny,1982,–, Russia,,8,2006/2010 US Open semifinalist • ranking in 2008 
Jaime Yzaga,1967,–, Peru,,18,"1991 Australian Open quarterfinalist (first appearance) • 1994 US Open 
quarterfinalist • ranking in 1989 "
Mariano Zabaleta,1978,–, Argentina,,20,2001 US Open quarterfinalist • ranking in 2000 
Vladimír Zedník,1947,–, Czechoslovakia,,,1973 Australian Open quarterfinalist 
Slobodan Živojinović,1963,–, Yugoslavia,,19,"1985 Australian Open semifinalist • 1986 Wimbledon semifinalist • ranking 
in 1987 "
Alexander Zverev,1997,–, Germany,,3,"Ranking in 2017 • 2020 US Open finalist • 2020 Australian Open semifinalist 
• 2021 French Open semifinalist • 2018 Tour Finals champion "
Mischa Zverev,1987,–, Germany,,25,2017 Australian Open quarterfinalist • ranking in 2017 
".mw-parser-output 
.navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output 
.navbar-collapse{float:left;text-align:left}.mw-parser-output 
.navbar-boxtext{word-spacing:0}.mw-parser-output .navbar 
ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output 
.navbar-brackets::before{margin-right:-0.125em;content:""[ 
""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" 
]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output 
.navbar-mini 
abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output 
.navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output 
.navbar-ct-mini{font-size:114%;margin:0 4em}.mw-parser-output .infobox 
.navbar{font-size:100%}.mw-parser-output .navbox 
.navbar{display:block;font-size:100%}.mw-parser-output .navbox-title 
.navbar{float:left;text-align:left;margin-right:0.5em}vteTennis records and statistics",,,,,,
Grand Slam,"Singles Men's champions Chronological Women's champions Chronological 
Finals Open Era Men's finals Women's finals Records Age at first title 
Champions by country Boys' champions Girls' champions Doubles Men's 
champions Women's champions Mixed champions Champions by country Boys' 
champions Girls' champions ",,,,,
Singles," Men's champions Chronological Women's champions Chronological Finals Open 
Era Men's finals Women's finals Records Age at first title Champions by 
country Boys' champions Girls' champions ",,,,,
Doubles," Men's champions Women's champions Mixed champions Champions by country 
Boys' champions Girls' champions ",,,,,
Men's,"Singles Open Era records All-time records ATP records Masters records Big 
Titles champions Rankings World No. 1 All-time No. 1s World Champions Top 
players ATP Awards Misc. Doubles Rankings World No. 1 World Champions 
Masters champions Big Titles champions Top players ",,,,,
Singles," Open Era records All-time records ATP records Masters records Big Titles 
champions Rankings World No. 1 All-time No. 1s World Champions Top players 
ATP Awards Misc. ",,,,,
Doubles," Rankings World No. 1 World Champions Masters champions Big Titles 
champions Top players ",,,,,
Women's," Open Era records All-time records WTA records Tier I/Premier champions 
Rankings World No. 1 All-time No. 1s World Champions Top players WTA Awards ",,,,,
Other lists," Notable rivalries Open Era Titles leaders Players' achievements Ranking 
per country Tournaments Singles Doubles Olympics ITF Rankings Davis Cup 
champions Billie Jean King Cup champions ",,,,,
" Matches Longest Shortest Bagel Golden set Tiebreaker Serving Speed Aces 
Double faults ",,,,,,
vteTennis,,,,,,
 History Glossary Match types Statistics Players Umpires Women's tennis ,,,,,,
Basics,"General Scoring system point Strategy grips serve and volley Equipment ball 
racket strings Official Technology electronic line judge Hawk-Eye Cyclops 
Courts Carpet Clay Grass Hard Shots Backhand Backspin Drop shot Flat 
Forehand Groundstroke Half volley Lob Passing shot Serve ace double fault 
Smash Topspin Volley ",,,,,
General," Scoring system point Strategy grips serve and volley Equipment ball racket 
strings Official Technology electronic line judge Hawk-Eye Cyclops ",,,,,
Courts, Carpet Clay Grass Hard ,,,,,
Shots," Backhand Backspin Drop shot Flat Forehand Groundstroke Half volley Lob 
Passing shot Serve ace double fault Smash Topspin Volley ",,,,,
Grand Slams,"Events Australian Open French Open Wimbledon US Open Stats Records Singles 
finals ",,,,,
Events, Australian Open French Open Wimbledon US Open ,,,,,
Stats, Records Singles finals ,,,,,
Professionaltours,"Men ATP Tour ATP Challenger Tour ITF Men's Circuit Women WTA Tour WTA 125K 
series ITF Women's Circuit ",,,,,
Men, ATP Tour ATP Challenger Tour ITF Men's Circuit ,,,,,
Women, WTA Tour WTA 125K series ITF Women's Circuit ,,,,,
Team tennistournaments,"Active Davis Cup Fed Cup ATP Cup Laver Cup World TeamTennis Defunct Hopman 
Cup Wightman Cup World Team Cup Champions Tennis League International 
Premier Tennis League ",,,,,
Active, Davis Cup Fed Cup ATP Cup Laver Cup World TeamTennis ,,,,,
Defunct," Hopman Cup Wightman Cup World Team Cup Champions Tennis League 
International Premier Tennis League ",,,,,
Multi-sportevents,"Intercontinental Olympics Paralympics Youth Olympics Universiade 
Commonwealth Island Mediterranean Continental African Asian Pacific Pan 
American ",,,,,
Intercontinental," Olympics Paralympics Youth Olympics Universiade Commonwealth Island 
Mediterranean ",,,,,
Continental, African Asian Pacific Pan American ,,,,,
Governing bodies," Association of Tennis Professionals Women's Tennis Association 
International Tennis Federation ",,,,,
  Tennis portal Outline WikiCommons ,,,,,,
